CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,,,,#SETTINGS,
2437,0,0,0,-0.00512,0,0,0,-0.00512,0.00256,-0.00512,0.00256,,,,#SETTINGS,
12436,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,motor_type,INDUCTION
22436,0,0,0,0,0,0,0,0,-0.0128,-0.0128,-0.0128,,,,sensor,inc_encoder
32436,0,-0.00768,0,0,0,0,-0.00768,0,-0.02304,-0.00512,-0.00512,,,,motor_connection,DELTA
42437,0,0.00256,0,-0.00768,0,0,0.00256,-0.00768,-0.00512,-0.02304,-0.00512,,,,sampling_timing,SYNC
52436,0,0,0,0.00512,0,0,0,0.00512,-0.0128,-0.00512,-0.02304,,,,mode,FOC
62437,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,sensored_control,ENABLED
6901,0,0.00256,0,-0.00512,0,0,0.00256,-0.00512,0.00256,-0.0128,-0.00512,,,,Fs_trq,10
16901,0,0.00256,0,-0.00768,0,0,0.00256,-0.00768,0.00256,-0.0128,0.00256,,,,Fs_speed,5
26901,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,Fswitching,5
36901,0,-0.00256,0,0.00256,0,0,-0.00256,0.00256,-0.0128,-0.00512,-0.0128,,,,zero_sequence,NONE
46901,0,0.01024,0,-0.00512,0,0,0.01024,-0.00512,0.01024,-0.02304,-0.0128,,,,Imax_ph,6.0
56901,0,-0.00768,0,-0.00768,0,0,-0.00768,-0.00768,-0.02304,-0.0128,0.00256,,,,Inom_ph,6.0
1365,0,-0.00768,0,-0.0128,0,0,-0.00768,-0.0128,-0.0128,-0.0128,0.02048,,,,I_o_ph,6.0
11365,0,0,0,0.00256,0,0,0,0.00256,-0.00512,-0.00512,-0.0128,,,,overload_interval,1.2400000095367432
21365,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,overload_limiter,0.699999988079071
31365,0,-0.00512,0,0.00512,0,0,-0.00512,0.00512,-0.00512,0.01024,-0.00512,,,,t_drop,1.7999999523162842
41364,0,-0.00256,0,-0.01024,0,0,-0.00256,-0.01024,0.00256,-0.00512,0.02048,,,,motor_temp_derate_thres,115.0
51365,0,0,0,0.00512,0,0,0,0.00512,-0.00512,0.00256,-0.0128,,,,motor_temp_max_thres,140.0
61365,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.00512,-0.00512,0.01024,,,,igbt_temp_derate_thres,55.0
5829,0,0,0,0.00512,0,0,0,0.00512,-0.02304,-0.0128,-0.03072,,,,igbt_temp_max_thres,80.0
15829,0,-0.00768,0,0,0,0,-0.00768,0,-0.0128,0.00256,0.00256,,,,v_base,325.2691345214844
25829,0,0.00768,0,0.00256,0,0,0.00768,0.00256,0.00256,-0.0128,-0.02304,,,,I_base,5.0911688804626465
35829,0,0,0,0.00256,0,0,0,0.00256,0.00256,0.00256,-0.00512,,,,no_load_rpm,1500
45829,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,nom_rpm,1500
55829,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,max_rpm,2000
293,0,-0.00256,0,0.00256,0,0,-0.00256,0.00256,-0.0128,-0.00512,-0.0128,,,,min_rpm,-2000
10293,0,-0.00768,0,0,0,0,-0.00768,0,-0.0128,0.00256,0.00256,,,,Rs,4.300000190734863
20293,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.0128,-0.0128,-0.00512,,,,Rr,2.299999952316284
30293,0,0.00256,0,0,0,0,0.00256,0,0.00256,-0.00512,-0.00512,,,,Lls,0.020800000056624413
40293,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,Llr,0.020800000056624413
50293,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,Lm,0.3353999853134155
60292,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,Lsig,0.041600000113248825
4757,0,-0.00768,0,0,0,0,-0.00768,0,-0.02304,-0.00512,-0.00512,,,,psi_nom,0.8899999856948853
14757,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,psi_min,0.17800000309944153
24757,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,J,0.10000000149011612
34757,0,0.00256,0,-0.00512,0,0,0.00256,-0.00512,0.00256,-0.0128,-0.00512,,,,b,0.0
44757,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.0128,-0.0128,-0.00512,,,,np,2.0
54757,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.0128,-0.0128,0.00256,,,,Ld,0.0005000000237487257
64756,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,Lq,0.0005000000237487257
9221,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,max_trq_num,21000
19221,0,0.00256,0,-0.00768,0,0,0.00256,-0.00768,0.00256,-0.0128,0.00256,,,,cc_trise,0.0020000000949949026
29221,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,spdc_trise,0.10000000149011612
39221,0,-0.00768,0,0,0,0,-0.00768,0,-0.00512,0.01024,0.01024,,,,mcm_trise,0.05999999865889549
49221,0,0,0,-0.00768,0,0,0,-0.00768,-0.00512,-0.0128,0.00256,,,,scvm_trise,0.05999999865889549
59221,0,0.00768,0,0.00768,0,0,0.00768,0.00768,-0.00512,-0.0128,-0.0384,,,,fw_trise,0.019999999552965164
3685,0,-0.00512,0,-0.01024,0,0,-0.00512,-0.01024,-0.0128,-0.0128,0.01024,,,,current_ramp_time,100.0
13685,0,0.00256,0,-0.00768,0,0,0.00256,-0.00768,0.00256,-0.0128,0.00256,,,,velocity_ramp_time,100.0
23685,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,spd_ref_offset,50.0
33685,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,low_rpm_thres,3000.0
43685,0,0.00512,0,0,0,0,0.00512,0,-0.00512,-0.02304,-0.02304,,,,min_freq,0.0
53685,0,0,0,0.00256,0,0,0,0.00256,-0.00512,-0.00512,-0.0128,,,,max_power,45.0
63685,0,-0.00512,0,0.00256,0,0,-0.00512,0.00256,-0.0128,0.00256,-0.00512,,,,min_power,-45.0
8149,0,0,0,-0.01024,0,0,0,-0.01024,0.00256,-0.0128,0.01024,,,,voltage_trise,0.009999999776482582
18148,0,0.00256,0,0,0,0,0.00256,0,0.00256,-0.00512,-0.00512,,,,voltage_tfall,0.009999999776482582
28149,0,0.00256,0,-0.00768,0,0,0.00256,-0.00768,0.00256,-0.0128,0.00256,,,,ocd_thres,25.0
38149,0,-0.00768,0,0,0,0,-0.00768,0,-0.0128,0.00256,0.00256,,,,overvoltage_thres,100.0
48149,0,-0.00512,0,0.00512,0,0,-0.00512,0.00512,-0.0128,0.00256,-0.0128,,,,undervoltage_thres,-5.0
58149,0,0.00256,0,-0.00512,0,0,0.00256,-0.00512,-0.00512,-0.02304,-0.0128,,,,ma1max,1.150081753730774
2612,0,0.00256,0,-0.00512,0,0,0.00256,-0.00512,0.00256,-0.0128,-0.00512,,,,ma3,0.19168028235435486
12613,0,-0.01024,0,-0.01024,0,0,-0.01024,-0.01024,-0.0128,-0.00512,0.02048,,,,mcu_max_temp,120.0
22613,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,wh1_timeout_thres,20000
32613,0,0,0,-0.00512,0,0,0,-0.00512,-0.0128,-0.02304,-0.0128,,,,warning_interval,5000
42613,0,0,0,0.00256,0,0,0,0.00256,0.00256,0.00256,-0.00512,,,,error_reset_interval,5000
52613,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,startup_time,1000
62613,0,0.00768,0,-0.00768,0,0,0.00768,-0.00768,0.01024,-0.02304,-0.00512,,,,mcu_reset_interval,10000
7077,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,data_logger_ts_div,100
17077,0,-0.00256,0,-0.01024,0,0,-0.00256,-0.01024,-0.00512,-0.0128,0.01024,,,,params_init_key,1122867
27077,0,-0.00512,0,0,0,0,-0.00512,0,-0.00512,0.00256,0.00256,,,,
37077,0,0,0,-0.00768,0,0,0,-0.00768,-0.00512,-0.0128,0.00256,,,,#MONITOR,
47076,0,-0.01024,0,-0.00768,0,0,-0.01024,-0.00768,-0.02304,-0.00512,0.01024,,,,num_max_trq,num_min_trq,max_velocity,min_velocity,velocity_request,num_trq_req,control_mode_command,vcu_command,critical_hw_status,aux_hw_status,last_error,sys_status,handler_status,latched_error,actual_state,control_mode_actual,limiter_flags,Id_ref,Iq_ref,Id_filt,Iq_filt,trq_ref,trq_actual,flux_ref,flux_actual,pwr_ref,pwr_actual,motor_rpm,Vdc,Vdc_max,num_max_trq,vcu_max_velocity,Imax_total,Imin_total,Iq_ref_request,max_velocity,min_velocity,motor_temp,igbt_temp,nominal_rpm,I1,I2,I3,I1max,I2max,I3max,ambient_temp,ambient_humidity,cc_time,cc_ts,sp_time,sp_ts
57077,0,0.00256,0,-0.01024,0,0,0.00256,-0.01024,0.00256,-0.02304,0.00256,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,0.0008999999845400453,-0.00559999980032444,0.0,4.220230493956478e-06,0.0,-0.00025120421196334064,0.0,0.0,0,152.23550415039062,152.40969848632812,0,0,0.0,0.0,0.0,0,0,-10.0,76.12487030029297,702.0440063476562,-0.004203063901513815,-0.004203063901513815,-0.004203063901513815,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,4.1181817054748535,100.01636505126953,1.5727273225784302,199.983642578125
1541,0,0,0,-0.00512,0,0,0,-0.00512,-0.0128,-0.02304,-0.0128,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-0.0011999999405816197,-0.003700000001117587,0.0,3.7639720176230185e-06,0.0,-0.0003390965866856277,0.0,0.0,0,152.1106719970703,152.40969848632812,0,0,0.0,0.0,0.0,0,0,-10.0,75.91967010498047,701.4683837890625,-0.012608151882886887,-0.021013585850596428,0.012608151882886887,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.409090995788574,100.01636505126953,1.5781818628311157,200.00181579589844
11541,0,-0.00256,0,0.00256,0,0,-0.00256,0.00256,-0.00512,0.00256,-0.00512,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,0.00019999999494757503,-0.0011999999405816197,0.0,6.085901418373396e-07,0.0,-0.00016905282973311841,0.0,0.0,0,152.22030639648438,152.40969848632812,0,0,0.0,0.0,0.0,0,0,-10.0,75.9277572631836,701.9739379882812,-0.012607111595571041,-0.004202370531857014,-0.012607111595571041,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.40181827545166,100.0,1.5145454406738281,199.96908569335938
21541,0,-0.00256,0,0.00256,0,0,-0.00256,0.00256,-0.00512,0.00256,-0.00512,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-0.002899999963119626,-0.002699999837204814,0.0,2.311493517481722e-06,0.0,-0.00028536957688629627,0.0,0.0,0,152.1106719970703,152.40969848632812,0,0,0.0,0.0,0.0,0,0,-10.0,75.90499114990234,701.4683837890625,-0.004203410819172859,-0.012610232457518578,-0.012610232457518578,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.3363635540008545,100.05272674560547,1.4636363983154297,200.02182006835938
31541,0,0.00256,0,0.00256,0,0,0.00256,0.00256,-0.00512,-0.0128,-0.02304,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-0.0004999999655410647,-0.0038999998942017555,0.0,4.755926966026891e-06,0.0,-0.00040648950380273163,0.0,0.0,0,152.18882751464844,152.40969848632812,0,0,0.0,0.0,0.0,0,0,-10.0,76.0681381225586,701.8287963867188,-0.0042028906755149364,-0.0042028906755149364,0.02101445384323597,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.432727336883545,100.02909088134766,1.5581817626953125,199.9545440673828
41541,0,-0.01024,0,0.00256,0,0,-0.01024,0.00256,-0.02304,0.00256,-0.00512,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-0.0013000000035390258,-0.0015999999595806003,0.0,1.3071442026557634e-06,0.0,-0.00027232171851210296,0.0,0.0,0,152.24810791015625,152.40969848632812,0,0,0.0,0.0,0.0,0,0,-10.0,75.9505844116211,702.1021728515625,-0.012608151882886887,-0.004202717449516058,-0.004202717449516058,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.3781819343566895,100.00727081298828,1.5381817817687988,200.052734375
51540,0,0,0,-0.00768,0,0,0,-0.00768,-0.00512,-0.0128,0.00256,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,0.00039999998989515007,-0.002099999925121665,0.0,2.478896021784749e-06,0.0,-0.0003934755804948509,0.0,0.0,0,152.1762237548828,152.40969848632812,0,0,0.0,0.0,0.0,0,0,-10.0,75.97887420654297,701.7706909179688,-0.021012719720602036,-0.012607632204890251,-0.004202543757855892,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.345454454421997,100.0,1.5163636207580566,199.9927215576172
61541,0,-0.00512,0,0.00256,0,0,-0.00512,0.00256,-0.0128,0.00256,-0.00512,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-0.00039999998989515007,0.0005999999702908099,0.0,-4.646229569971183e-07,0.0,-0.00025812388048507273,0.0,-0.0,0,152.25811767578125,152.40969848632812,0,0,0.0,0.0,0.0,0,0,-10.0,75.85131072998047,702.1483154296875,0.004201850853860378,-0.012605552561581135,0.004201850853860378,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.474545478820801,100.0,1.556363582611084,199.98727416992188
6004,0,0,0,0.00256,0,0,0,0.00256,-0.0128,-0.0128,-0.02304,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-0.001999999862164259,-0.0038999998942017555,0.0,3.5382131500227842e-06,0.0,-0.0003024113830178976,0.0,0.0,0,152.21400451660156,152.40969848632812,0,0,0.0,0.0,0.0,0,0,-10.0,75.91368865966797,701.9448852539062,-0.004203584045171738,-0.012610752135515213,-0.004203584045171738,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.3581817150115967,99.99818420410156,1.5272727012634277,199.98545837402344
16004,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,0.0008999999845400453,-0.003399999812245369,0.0,4.038173756271135e-06,0.0,-0.00039589940570294857,0.0,0.0,0,152.2884979248047,152.40969848632812,0,0,0.0,0.0,0.0,0,0,-10.0,76.1030502319336,702.2883911132812,-0.012609192170202732,0.012609192170202732,-0.012609192170202732,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.3618180751800537,99.99454498291016,1.4945454597473145,200.02182006835938
