CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,,,,#SETTINGS,
55257,0,-0.01024,0,-0.00512,0,0,-0.01024,-0.00512,-0.0128,0.00256,0.01024,,,,#SETTINGS,
65257,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,motor_type,INDUCTION
9721,0,0.00256,0,0,0,0,0.00256,0,0.00256,-0.00512,-0.00512,,,,sensor,inc_encoder
19721,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,motor_connection,DELTA
29721,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,sampling_timing,SYNC
39721,0,0,0,-0.00512,0,0,0,-0.00512,0.00256,-0.00512,0.00256,,,,mode,FOC
49720,0,0,0,-0.00512,0,0,0,-0.00512,0.00256,-0.00512,0.00256,,,,sensored_control,ENABLED
59721,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.00512,-0.00512,0.01024,,,,Fs_trq,10
4185,0,0,0,0.00256,0,0,0,0.00256,-0.00512,-0.00512,-0.0128,,,,Fs_speed,5
14185,0,0.00256,0,-0.00768,0,0,0.00256,-0.00768,0.00256,-0.0128,0.00256,,,,Fswitching,5
24185,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.0128,-0.0128,0.00256,,,,zero_sequence,NONE
34185,0,-0.00512,0,-0.01024,0,0,-0.00512,-0.01024,-0.0128,-0.0128,0.01024,,,,Imax_ph,6.0
44185,0,-0.01024,0,0,0,0,-0.01024,0,-0.02304,0.00256,0.00256,,,,Inom_ph,6.0
54185,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,I_o_ph,6.0
64185,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,overload_interval,1.2400000095367432
8649,0,-0.00256,0,0.00256,0,0,-0.00256,0.00256,-0.00512,0.00256,-0.00512,,,,overload_limiter,0.699999988079071
18649,0,-0.00512,0,-0.00512,0,0,-0.00512,-0.00512,-0.0128,-0.00512,0.00256,,,,t_drop,1.7999999523162842
28649,0,-0.01024,0,0.00768,0,0,-0.01024,0.00768,-0.02304,0.01024,-0.0128,,,,motor_temp_derate_thres,115.0
38648,0,0,0,0,0,0,0,0,-0.0128,-0.0128,-0.0128,,,,motor_temp_max_thres,140.0
48649,0,-0.00512,0,-0.00512,0,0,-0.00512,-0.00512,-0.0128,-0.00512,0.00256,,,,igbt_temp_derate_thres,55.0
58649,0,0.00256,0,0,0,0,0.00256,0,0.00256,-0.00512,-0.00512,,,,igbt_temp_max_thres,80.0
3113,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.00512,-0.00512,0.01024,,,,v_base,325.2691345214844
13112,0,0,0,0,0,0,0,0,-0.0128,-0.0128,-0.0128,,,,I_base,5.0911688804626465
23113,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,no_load_rpm,1500
33113,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.00512,-0.00512,0.01024,,,,nom_rpm,1500
43113,0,-0.0128,0,-0.01024,0,0,-0.0128,-0.01024,-0.02304,-0.00512,0.02048,,,,max_rpm,2000
53113,0,-0.00256,0,-0.01024,0,0,-0.00256,-0.01024,-0.0128,-0.02304,0.00256,,,,min_rpm,-2000
63113,0,-0.00256,0,0.00256,0,0,-0.00256,0.00256,-0.0128,-0.00512,-0.0128,,,,Rs,4.300000190734863
7576,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,Rr,2.299999952316284
17576,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,Lls,0.020800000056624413
27577,0,0,0,-0.00768,0,0,0,-0.00768,-0.00512,-0.0128,0.00256,,,,Llr,0.020800000056624413
37577,0,-0.00768,0,-0.00768,0,0,-0.00768,-0.00768,-0.02304,-0.0128,0.00256,,,,Lm,0.3353999853134155
47577,0,0.00256,0,0,0,0,0.00256,0,-0.0128,-0.02304,-0.02304,,,,Lsig,0.041600000113248825
57577,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,psi_nom,0.8899999856948853
2041,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,psi_min,0.17800000309944153
12041,0,-0.00512,0,0.00256,0,0,-0.00512,0.00256,-0.0128,0.00256,-0.00512,,,,J,0.10000000149011612
22041,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,0.00256,0.00256,0.01024,,,,b,0.0
32041,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,np,2.0
42041,0,-0.00256,0,0.00768,0,0,-0.00256,0.00768,-0.0128,0.00256,-0.02304,,,,Ld,0.0005000000237487257
52041,0,0,0,0.00256,0,0,0,0.00256,0.00256,0.00256,-0.00512,,,,Lq,0.0005000000237487257
62041,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,max_trq_num,21000
6505,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,cc_trise,0.0020000000949949026
16505,0,-0.00512,0,-0.00512,0,0,-0.00512,-0.00512,-0.02304,-0.0128,-0.00512,,,,spdc_trise,0.10000000149011612
26505,0,-0.00512,0,-0.0128,0,0,-0.00512,-0.0128,-0.0128,-0.02304,0.01024,,,,mcm_trise,0.05999999865889549
36505,0,-0.00768,0,0,0,0,-0.00768,0,-0.03072,-0.0128,-0.0128,,,,scvm_trise,0.05999999865889549
46505,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,fw_trise,0.019999999552965164
56504,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,current_ramp_time,100.0
969,0,0.00256,0,0,0,0,0.00256,0,-0.00512,-0.0128,-0.0128,,,,velocity_ramp_time,100.0
10969,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,spd_ref_offset,50.0
20969,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,low_rpm_thres,3000.0
30969,0,-0.01024,0,-0.00512,0,0,-0.01024,-0.00512,-0.0128,0.00256,0.01024,,,,min_freq,0.0
40969,0,0.00256,0,0.00512,0,0,0.00256,0.00512,-0.00512,-0.00512,-0.02304,,,,max_power,45.0
50969,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,min_power,-45.0
60969,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,voltage_trise,0.009999999776482582
5433,0,-0.00512,0,0.00256,0,0,-0.00512,0.00256,-0.0128,0.00256,-0.00512,,,,voltage_tfall,0.009999999776482582
15433,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,ocd_thres,25.0
25433,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.00512,-0.00512,0.01024,,,,overvoltage_thres,100.0
35432,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,undervoltage_thres,-5.0
45433,0,-0.00768,0,0,0,0,-0.00768,0,-0.0128,0.00256,0.00256,,,,ma1max,1.150081753730774
55433,0,0,0,0,0,0,0,0,0.00256,0.00256,0.00256,,,,ma3,0.19168028235435486
65433,0,-0.00512,0,0,0,0,-0.00512,0,-0.02304,-0.0128,-0.0128,,,,mcu_max_temp,120.0
9897,0,0.00256,0,-0.00512,0,0,0.00256,-0.00512,-0.00512,-0.02304,-0.0128,,,,wh1_timeout_thres,20000
19897,0,-0.00256,0,0.00256,0,0,-0.00256,0.00256,-0.0128,-0.00512,-0.0128,,,,warning_interval,5000
29897,0,0.00256,0,-0.00512,0,0,0.00256,-0.00512,0.00256,-0.0128,-0.00512,,,,error_reset_interval,5000
39897,0,-0.00768,0,-0.00768,0,0,-0.00768,-0.00768,-0.0128,-0.00512,0.01024,,,,startup_time,1000
49897,0,0,0,-0.00512,0,0,0,-0.00512,0.00256,-0.00512,0.00256,,,,mcu_reset_interval,10000
59896,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,data_logger_ts_div,100
4361,0,-0.00512,0,-0.00512,0,0,-0.00512,-0.00512,-0.02304,-0.0128,-0.00512,,,,params_init_key,1122867
14360,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,
24361,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.00512,-0.00512,0.01024,,,,#MONITOR,
34361,0,0,0,-0.00768,0,0,0,-0.00768,-0.00512,-0.0128,0.00256,,,,num_max_trq,num_min_trq,max_velocity,min_velocity,velocity_request,num_trq_req,control_mode_command,vcu_command,critical_hw_status,aux_hw_status,last_error,sys_status,handler_status,latched_error,actual_state,control_mode_actual,limiter_flags,Id_ref,Iq_ref,Id_filt,Iq_filt,trq_ref,trq_actual,flux_ref,flux_actual,pwr_ref,pwr_actual,motor_rpm,Vdc,Vdc_max,num_max_trq,vcu_max_velocity,Imax_total,Imin_total,Iq_ref_request,max_velocity,min_velocity,motor_temp,igbt_temp,nominal_rpm,I1,I2,I3,I1max,I2max,I3max,ambient_temp,ambient_humidity,cc_time,cc_ts,sp_time,sp_ts
44361,0,0.00256,0,-0.00512,0,0,0.00256,-0.00512,0.01024,-0.00512,0.00256,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-0.0017999999690800905,-0.0016999999061226845,0.0,2.0086695258214604e-06,0.0,-0.00039385678246617317,0.0,0.0,0,152.21400451660156,152.40969848632812,0,0,0.0,0.0,0.0,0,0,-10.0,76.1554183959961,701.9448852539062,-0.012606591917574406,-0.004202197305858135,-0.012606591917574406,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.4727272987365723,99.94363403320312,1.5018181800842285,199.94544982910156
54361,0,-0.00768,0,-0.0128,0,0,-0.00768,-0.0128,-0.0128,-0.0128,0.02048,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-9.999999747378752e-05,-0.002199999988079071,0.0,2.4901144115574425e-06,0.0,-0.00037729006726294756,0.0,0.0,0,152.20401000976562,152.40969848632812,0,0,0.0,0.0,0.0,0,0,-10.0,76.06160736083984,701.8988037109375,0.004203237127512693,-0.004203237127512693,-0.012609711848199368,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.5327272415161133,100.00727081298828,1.545454502105713,199.9581756591797
64361,0,-0.00512,0,0.00256,0,0,-0.00512,0.00256,-0.02304,-0.00512,-0.0128,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp | IGBTTemp,0.0,0.0,-0.002899999963119626,-0.002099999925121665,0.0,1.471403493269463e-06,0.0,-0.00023355611483566463,0.0,0.0,0,152.21920776367188,152.40969848632812,0,0,0.0,0.0,0.0,0,0,154.1630401611328,76.11019134521484,701.9688720703125,-0.012607111595571041,0.004202370531857014,0.004202370531857014,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.4000000953674316,100.02909088134766,1.5672727823257446,199.98545837402344
8825,0,-0.00512,0,-0.00512,0,0,-0.00512,-0.00512,-0.0128,-0.00512,0.00256,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-0.0030999998562037945,-0.0005999999702908099,0.0,7.25426275494101e-07,0.0,-0.00040301462286151946,0.0,0.0,0,152.18882751464844,152.40969848632812,0,0,0.0,0.0,0.0,0,0,-10.0,76.06038665771484,701.8287963867188,-0.012607111595571041,0.004202370531857014,0.004202370531857014,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.454545497894287,99.9618148803711,1.4836363792419434,200.0418243408203
18825,0,0,0,0,0,0,0,0,0.00256,0.00256,0.00256,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,0.00019999999494757503,-0.002300000051036477,0.0,1.8126488612324465e-06,0.0,-0.00026270272792316973,0.0,0.0,0,152.25439453125,152.40969848632812,0,0,0.0,0.0,0.0,0,0,-10.0,76.09917449951172,702.1311645507812,-0.004200119059532881,-0.004200119059532881,-0.021000593900680542,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.3618180751800537,99.99272918701172,1.545454502105713,199.9890899658203
28825,0,-0.01024,0,-0.00512,0,0,-0.01024,-0.00512,-0.0128,0.00256,0.01024,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-0.00019999999494757503,0.0007999999797903001,0.0,-8.882959150469105e-07,0.0,-0.0003701233072206378,0.0,-0.0,0,152.20140075683594,152.40969848632812,0,0,0.0,0.0,0.0,0,0,-10.0,76.12273406982422,701.8867797851562,0.012614915147423744,-0.004204971715807915,0.021024858579039574,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.4600000381469727,100.04545593261719,1.4981818199157715,200.04364013671875
38825,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.0128,-0.0128,-0.00512,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-9.999999747378752e-05,-0.002099999925121665,0.0,1.956884943865589e-06,0.0,-0.000310616655042395,0.0,0.0,0,152.14215087890625,152.40969848632812,0,0,0.0,0.0,0.0,0,0,-10.0,76.16631317138672,701.613525390625,-0.004202543757855892,-0.012607632204890251,-0.012607632204890251,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.3363635540008545,100.0,1.5727273225784302,199.92727661132812
48825,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.0128,-0.0128,-0.00512,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-0.0030999998562037945,-0.0044999998062849045,0.0,3.0426569992414443e-06,0.0,-0.0002253820130135864,0.0,0.0,0,152.22030639648438,152.40969848632812,0,0,0.0,0.0,0.0,0,0,-10.0,76.07625579833984,701.9739379882812,-0.004202717449516058,-0.004202717449516058,0.004202717449516058,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.405454635620117,99.99818420410156,1.4563636779785156,199.95635986328125
58825,0,0.00512,0,0.00512,0,0,0.00512,0.00512,0.00256,-0.00512,-0.02304,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-0.0008999999845400453,-0.002199999988079071,0.0,2.0406812382134376e-06,0.0,-0.00030919411801733077,0.0,0.0,0,152.1988067626953,152.40969848632812,0,0,0.0,0.0,0.0,0,0,-10.0,76.1603012084961,701.8748168945312,-0.012612313032150269,-0.021020522341132164,-0.00420410418882966,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.34181809425354,100.05091094970703,1.545454502105713,200.052734375
3288,0,-0.00512,0,0,0,0,-0.00512,0,-0.00512,0.00256,0.00256,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp | IGBTTemp,0.0,0.0,-0.0016999999061226845,-0.004100000020116568,0.0,4.483221346163191e-06,0.0,-0.00036448953323997557,0.0,0.0,0,152.25181579589844,152.40969848632812,0,0,0.0,0.0,0.0,0,0,154.7809295654297,76.1363754272461,702.1192626953125,-0.021017054095864296,-0.004203410819172859,0.004203410819172859,0.046248964965343475,0.04624323919415474,0.05464433878660202,0.0,0.0,3.4127273559570312,100.03636169433594,1.5472726821899414,199.99818420410156
