CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,,,,#SETTINGS,
35217,0,0,0,-0.00768,0,0,0,-0.00768,0.00256,-0.00512,0.01024,,,,#SETTINGS,
35317,0,-0.01024,0,-0.00512,0,0,-0.01024,-0.00512,-0.0128,0.00256,0.01024,,,,motor_type,INDUCTION
35417,0,-0.00256,0,-0.01024,0,0,-0.00256,-0.01024,-0.0128,-0.02304,0.00256,,,,sensor,inc_encoder
35517,0,0.00512,0,0,0,0,0.00512,0,0.01024,-0.00512,-0.00512,,,,motor_connection,DELTA
35616,0,-0.00256,0,0.00256,0,0,-0.00256,0.00256,-0.00512,0.00256,-0.00512,,,,sampling_timing,SYNC
35717,0,-0.00256,0,-0.01024,0,0,-0.00256,-0.01024,-0.00512,-0.0128,0.01024,,,,mode,FOC
35817,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,sensored_control,ENABLED
35917,0,-0.00768,0,-0.00768,0,0,-0.00768,-0.00768,-0.0128,-0.00512,0.01024,,,,Fs_trq,10
36016,0,-0.00256,0,-0.01024,0,0,-0.00256,-0.01024,-0.0128,-0.02304,0.00256,,,,Fs_speed,5
36117,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,Fswitching,5
36217,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,zero_sequence,NONE
36316,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,Imax_ph,6.0
36417,0,0,0,-0.00768,0,0,0,-0.00768,-0.00512,-0.0128,0.00256,,,,Inom_ph,6.0
36517,0,-0.00768,0,-0.00768,0,0,-0.00768,-0.00768,-0.00512,0.00256,0.02048,,,,I_o_ph,6.0
36617,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.0128,-0.0128,-0.00512,,,,overload_interval,1.2400000095367432
36717,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,overload_limiter,0.699999988079071
36817,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,t_drop,1.7999999523162842
36917,0,0,0,-0.00768,0,0,0,-0.00768,-0.00512,-0.0128,0.00256,,,,motor_temp_derate_thres,115.0
37017,0,0.00256,0,0,0,0,0.00256,0,-0.00512,-0.0128,-0.0128,,,,motor_temp_max_thres,140.0
37117,0,-0.01024,0,-0.00512,0,0,-0.01024,-0.00512,-0.02304,-0.00512,0.00256,,,,igbt_temp_derate_thres,55.0
37216,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,igbt_temp_max_thres,80.0
37317,0,-0.00768,0,-0.00768,0,0,-0.00768,-0.00768,-0.0128,-0.00512,0.01024,,,,v_base,325.2691345214844
37417,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,I_base,5.0911688804626465
37517,0,-0.00512,0,0,0,0,-0.00512,0,-0.02304,-0.0128,-0.0128,,,,no_load_rpm,1500
37617,0,-0.00512,0,-0.0128,0,0,-0.00512,-0.0128,-0.0128,-0.02304,0.01024,,,,nom_rpm,1500
37716,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,max_rpm,2000
37817,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,min_rpm,-2000
37917,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.02304,-0.02304,-0.0128,,,,Rs,4.300000190734863
38017,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.00512,-0.00512,0.01024,,,,Rr,2.299999952316284
38117,0,0.00256,0,-0.00512,0,0,0.00256,-0.00512,-0.00512,-0.02304,-0.0128,,,,Lls,0.020800000056624413
38217,0,0.00512,0,0,0,0,0.00512,0,0.00256,-0.0128,-0.0128,,,,Llr,0.020800000056624413
38317,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,Lm,0.3353999853134155
38417,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,Lsig,0.041600000113248825
38517,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,psi_nom,0.8899999856948853
38617,0,-0.00512,0,0.00512,0,0,-0.00512,0.00512,-0.00512,0.01024,-0.00512,,,,psi_min,0.17800000309944153
38717,0,-0.01024,0,-0.00512,0,0,-0.01024,-0.00512,-0.02304,-0.00512,0.00256,,,,J,0.10000000149011612
38816,0,0,0,0,0,0,0,0,-0.0128,-0.0128,-0.0128,,,,b,0.0
38917,0,-0.00512,0,0,0,0,-0.00512,0,-0.02304,-0.0128,-0.0128,,,,np,2.0
39017,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.0128,-0.0128,0.00256,,,,Ld,0.0005000000237487257
39117,0,0,0,-0.01024,0,0,0,-0.01024,0.00256,-0.0128,0.01024,,,,Lq,0.0005000000237487257
39217,0,0.00256,0,0.00512,0,0,0.00256,0.00512,-0.00512,-0.00512,-0.02304,,,,max_trq_num,21000
39316,0,-0.00768,0,0,0,0,-0.00768,0,-0.02304,-0.00512,-0.00512,,,,cc_trise,0.0020000000949949026
39417,0,0.00256,0,-0.00768,0,0,0.00256,-0.00768,-0.00512,-0.02304,-0.00512,,,,spdc_trise,0.10000000149011612
39517,0,0,0,0,0,0,0,0,-0.0128,-0.0128,-0.0128,,,,mcm_trise,0.05999999865889549
39616,0,0.00256,0,0,0,0,0.00256,0,0.00256,-0.00512,-0.00512,,,,scvm_trise,0.05999999865889549
39717,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,fw_trise,0.019999999552965164
39816,0,0,0,0.00512,0,0,0,0.00512,-0.0128,-0.00512,-0.02304,,,,current_ramp_time,100.0
39917,0,-0.00256,0,-0.01024,0,0,-0.00256,-0.01024,0.00256,-0.00512,0.02048,,,,velocity_ramp_time,100.0
40017,0,-0.01024,0,-0.00768,0,0,-0.01024,-0.00768,-0.02304,-0.00512,0.01024,,,,spd_ref_offset,50.0
40117,0,-0.01024,0,-0.00768,0,0,-0.01024,-0.00768,-0.02304,-0.00512,0.01024,,,,low_rpm_thres,3000.0
40217,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.0128,-0.0128,-0.00512,,,,min_freq,0.0
40317,0,0,0,0.00512,0,0,0,0.00512,-0.0128,-0.00512,-0.02304,,,,max_power,45.0
40416,0,0,0,0,0,0,0,0,-0.0128,-0.0128,-0.0128,,,,min_power,-45.0
40517,0,-0.00768,0,0.01024,0,0,-0.00768,0.01024,-0.02304,0.01024,-0.02304,,,,voltage_trise,0.009999999776482582
40617,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,voltage_tfall,0.009999999776482582
40716,0,-0.00768,0,0,0,0,-0.00768,0,-0.0128,0.00256,0.00256,,,,ocd_thres,25.0
40817,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.0128,-0.0128,-0.00512,,,,overvoltage_thres,100.0
40917,0,-0.00512,0,-0.01024,0,0,-0.00512,-0.01024,-0.00512,-0.00512,0.02048,,,,undervoltage_thres,-5.0
41017,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,ma1max,1.150081753730774
41116,0,0,0,0,0,0,0,0,-0.0128,-0.0128,-0.0128,,,,ma3,0.19168028235435486
41216,0,-0.00256,0,0.00256,0,0,-0.00256,0.00256,-0.02304,-0.0128,-0.02304,,,,mcu_max_temp,120.0
41317,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,wh1_timeout_thres,20000
41417,0,-0.00768,0,-0.00768,0,0,-0.00768,-0.00768,-0.02304,-0.0128,0.00256,,,,warning_interval,5000
41516,0,0,0,0,0,0,0,0,0.00256,0.00256,0.00256,,,,error_reset_interval,5000
41617,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,startup_time,1000
41717,0,-0.0128,0,-0.00512,0,0,-0.0128,-0.00512,-0.03072,-0.00512,0.00256,,,,mcu_reset_interval,10000
41817,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,data_logger_ts_div,1
41917,0,0.00256,0,-0.00512,0,0,0.00256,-0.00512,0.00256,-0.0128,-0.00512,,,,params_init_key,1122867
42017,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,
42117,0,0,0,-0.01024,0,0,0,-0.01024,-0.00512,-0.02304,0.00256,,,,#MONITOR,
42217,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,num_max_trq,num_min_trq,max_velocity,min_velocity,velocity_request,num_trq_req,control_mode_command,vcu_command,critical_hw_status,aux_hw_status,last_error,sys_status,handler_status,latched_error,actual_state,control_mode_actual,limiter_flags,Id_ref,Iq_ref,Id_filt,Iq_filt,trq_ref,trq_actual,flux_ref,flux_actual,pwr_ref,pwr_actual,motor_rpm,Vdc,Vdc_max,num_max_trq,vcu_max_velocity,Imax_total,Imin_total,Iq_ref_request,max_velocity,min_velocity,motor_temp,igbt_temp,nominal_rpm,I1,I2,I3,I1max,I2max,I3max,ambient_temp,ambient_humidity,cc_time,cc_ts,sp_time,sp_ts
42317,0,0,0,0.00256,0,0,0,0.00256,-0.00512,-0.00512,-0.0128,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-0.0030999998562037945,-0.003399999812245369,0.0,3.0004975997144356e-06,0.0,-0.0002941664424724877,0.0,0.0,0,152.35667419433594,152.5902862548828,0,0,0.0,0.0,0.0,0,0,-10.0,76.27758026123047,702.6028442382812,0.00420410418882966,-0.012612313032150269,-0.00420410418882966,0.04624323919415474,0.04626041650772095,0.0630277618765831,0.0,0.0,3.3927273750305176,99.9454574584961,1.4872727394104004,200.05999755859375
42417,0,-0.00256,0,-0.01024,0,0,-0.00256,-0.01024,-0.00512,-0.0128,0.01024,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,0.001500000013038516,-0.0030999998562037945,0.0,2.6319808057451155e-06,0.0,-0.0002830087032634765,0.0,0.0,0,152.42605590820312,152.5902862548828,0,0,0.0,0.0,0.0,0,0,-10.0,76.15282440185547,702.9227905273438,-0.004203930962830782,-0.004203930962830782,0.004203930962830782,0.04624323919415474,0.04626041650772095,0.0630277618765831,0.0,0.0,3.9109091758728027,100.0381851196289,1.5145454406738281,199.983642578125
42517,0,-0.00256,0,0.00768,0,0,-0.00256,0.00768,-0.0128,0.00256,-0.02304,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-0.002899999963119626,-0.004399999976158142,0.0,2.773160076685599e-06,0.0,-0.00021008789190091193,0.0,0.0,0,152.4223175048828,152.5902862548828,0,0,0.0,0.0,0.0,0,0,-10.0,76.18834686279297,702.905517578125,-0.012611272744834423,-0.0042037577368319035,-0.02101878821849823,0.04624323919415474,0.04626041650772095,0.0630277618765831,0.0,0.0,4.039999961853027,99.99818420410156,1.559999942779541,200.00363159179688
42617,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.00512,-0.00512,0.01024,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-0.0013000000035390258,-0.003599999938160181,0.0,3.4225099625473376e-06,0.0,-0.00031689906609244645,0.0,0.0,0,152.38821411132812,152.5902862548828,0,0,0.0,0.0,0.0,0,0,-10.0,76.32042694091797,702.748291015625,-0.012613873928785324,0.0042046247981488705,-0.0042046247981488705,0.04624323919415474,0.04626041650772095,0.0630277618765831,0.0,0.0,3.894545555114746,100.04908752441406,1.5218181610107422,200.04908752441406
42717,0,-0.00512,0,0.00256,0,0,-0.00512,0.00256,-0.02304,-0.00512,-0.0128,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-0.001500000013038516,-0.002199999988079071,0.0,1.8970212067870307e-06,0.0,-0.000287427450530231,0.0,0.0,0,152.37559509277344,152.5902862548828,0,0,0.0,0.0,0.0,0,0,-10.0,76.2036361694336,702.6900634765625,0.004204451106488705,-0.012613354250788689,0.012613354250788689,0.04624323919415474,0.04626041650772095,0.0630277618765831,0.0,0.0,3.898181915283203,100.05091094970703,1.496363639831543,198.07818603515625
42817,0,-0.00768,0,-0.0128,0,0,-0.00768,-0.0128,-0.02304,-0.02304,0.01024,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42916,0,-0.00512,0,-0.00512,0,0,-0.00512,-0.00512,-0.0128,-0.00512,0.00256,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43017,0,-0.00256,0,-0.01024,0,0,-0.00256,-0.01024,-0.0128,-0.02304,0.00256,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43116,0,0,0,-0.00768,0,0,0,-0.00768,0.00256,-0.00512,0.01024,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43217,0,0.00512,0,0,0,0,0.00512,0,-0.00512,-0.02304,-0.02304,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43317,0,-0.01024,0,0.00256,0,0,-0.01024,0.00256,-0.0128,0.01024,0.00256,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43417,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
