CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,,,,#SETTINGS,
20017,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,#SETTINGS,
20117,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.0128,-0.0128,-0.00512,,,,motor_type,INDUCTION
20216,0,0,0,0,0,0,0,0,-0.0128,-0.0128,-0.0128,,,,sensor,inc_encoder
20318,0,-0.00512,0,0.00256,0,0,-0.00512,0.00256,-0.02304,-0.00512,-0.0128,,,,motor_connection,DELTA
20417,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.0128,-0.0128,-0.00512,,,,sampling_timing,SYNC
20516,0,-0.01024,0,-0.00768,0,0,-0.01024,-0.00768,-0.02304,-0.00512,0.01024,,,,mode,FOC
20617,0,0,0,-0.0128,0,0,0,-0.0128,-0.00512,-0.02304,0.01024,,,,sensored_control,ENABLED
20717,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,Fs_trq,10
20817,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,Fs_speed,5
20917,0,0.00256,0,0.00512,0,0,0.00256,0.00512,-0.00512,-0.00512,-0.02304,,,,Fswitching,5
21017,0,-0.00256,0,-0.01024,0,0,-0.00256,-0.01024,-0.00512,-0.0128,0.01024,,,,zero_sequence,NONE
21116,0,-0.01024,0,-0.00768,0,0,-0.01024,-0.00768,-0.02304,-0.00512,0.01024,,,,Imax_ph,6.0
21217,0,0,0,0.00768,0,0,0,0.00768,-0.00512,0.00256,-0.02304,,,,Inom_ph,6.0
21317,0,-0.01024,0,-0.00512,0,0,-0.01024,-0.00512,-0.03072,-0.0128,-0.00512,,,,I_o_ph,6.0
21418,0,0,0,-0.0128,0,0,0,-0.0128,-0.00512,-0.02304,0.01024,,,,overload_interval,1.2400000095367432
21517,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.0128,-0.0128,-0.00512,,,,overload_limiter,0.699999988079071
21616,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.0128,-0.0128,0.00256,,,,t_drop,1.7999999523162842
21716,0,-0.00512,0,-0.0128,0,0,-0.00512,-0.0128,-0.00512,-0.0128,0.02048,,,,motor_temp_derate_thres,115.0
21817,0,0.00512,0,0.00512,0,0,0.00512,0.00512,0.00256,-0.00512,-0.02304,,,,motor_temp_max_thres,140.0
21917,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,igbt_temp_derate_thres,55.0
22016,0,0,0,0.00512,0,0,0,0.00512,-0.00512,0.00256,-0.0128,,,,igbt_temp_max_thres,80.0
22117,0,-0.00512,0,-0.00512,0,0,-0.00512,-0.00512,-0.02304,-0.0128,-0.00512,,,,v_base,325.2691345214844
22217,0,-0.0128,0,-0.00512,0,0,-0.0128,-0.00512,-0.03072,-0.00512,0.00256,,,,I_base,5.0911688804626465
22317,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.0128,-0.0128,0.00256,,,,no_load_rpm,1500
22416,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,nom_rpm,1500
22517,0,0,0,-0.00768,0,0,0,-0.00768,-0.00512,-0.0128,0.00256,,,,max_rpm,2000
22617,0,-0.00512,0,-0.01536,0,0,-0.00512,-0.01536,-0.0128,-0.02304,0.02048,,,,min_rpm,-2000
22717,0,-0.00256,0,-0.01024,0,0,-0.00256,-0.01024,-0.0128,-0.02304,0.00256,,,,Rs,4.300000190734863
22816,0,0.00256,0,0,0,0,0.00256,0,-0.00512,-0.0128,-0.0128,,,,Rr,2.299999952316284
22917,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,Lls,0.020800000056624413
23016,0,-0.00512,0,0,0,0,-0.00512,0,-0.02304,-0.0128,-0.0128,,,,Llr,0.020800000056624413
23116,0,0,0,0.00512,0,0,0,0.00512,-0.0128,-0.00512,-0.02304,,,,Lm,0.3353999853134155
23216,0,0.00512,0,0,0,0,0.00512,0,0.00256,-0.0128,-0.0128,,,,Lsig,0.041600000113248825
23316,0,-0.00512,0,0.01024,0,0,-0.00512,0.01024,-0.0128,0.01024,-0.02304,,,,psi_nom,0.8899999856948853
23416,0,0.00256,0,0,0,0,0.00256,0,-0.00512,-0.0128,-0.0128,,,,psi_min,0.17800000309944153
23517,0,0,0,-0.00768,0,0,0,-0.00768,-0.0128,-0.02304,-0.00512,,,,J,0.10000000149011612
23617,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,b,0.0
23716,0,-0.00512,0,-0.00512,0,0,-0.00512,-0.00512,-0.02304,-0.0128,-0.00512,,,,np,2.0
23816,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,Ld,0.0005000000237487257
23917,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,Lq,0.0005000000237487257
24017,0,0,0,-0.00512,0,0,0,-0.00512,-0.0128,-0.02304,-0.0128,,,,max_trq_num,21000
24117,0,0,0,-0.00768,0,0,0,-0.00768,-0.0128,-0.02304,-0.00512,,,,cc_trise,0.0020000000949949026
24216,0,-0.00512,0,-0.0128,0,0,-0.00512,-0.0128,-0.0128,-0.02304,0.01024,,,,spdc_trise,0.10000000149011612
24317,0,0.00256,0,0,0,0,0.00256,0,0.00256,-0.00512,-0.00512,,,,mcm_trise,0.05999999865889549
24417,0,0.00256,0,0,0,0,0.00256,0,0.00256,-0.00512,-0.00512,,,,scvm_trise,0.05999999865889549
24516,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.0128,-0.0128,0.00256,,,,fw_trise,0.019999999552965164
24617,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.00512,-0.00512,0.01024,,,,current_ramp_time,100.0
24717,0,-0.0128,0,-0.00512,0,0,-0.0128,-0.00512,-0.03072,-0.00512,0.00256,,,,velocity_ramp_time,100.0
24817,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.02304,-0.02304,-0.00512,,,,spd_ref_offset,50.0
24916,0,0.00256,0,-0.00512,0,0,0.00256,-0.00512,-0.00512,-0.02304,-0.0128,,,,low_rpm_thres,3000.0
25017,0,-0.00512,0,-0.00512,0,0,-0.00512,-0.00512,-0.0128,-0.00512,0.00256,,,,min_freq,0.0
25116,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,max_power,45.0
25217,0,-0.00768,0,0,0,0,-0.00768,0,-0.0128,0.00256,0.00256,,,,min_power,-45.0
25317,0,0.00256,0,0,0,0,0.00256,0,-0.00512,-0.0128,-0.0128,,,,voltage_trise,0.009999999776482582
25416,0,0,0,0,0,0,0,0,-0.0128,-0.0128,-0.0128,,,,voltage_tfall,0.009999999776482582
25516,0,0,0,0,0,0,0,0,-0.0128,-0.0128,-0.0128,,,,ocd_thres,25.0
25617,0,-0.01024,0,-0.00512,0,0,-0.01024,-0.00512,-0.03072,-0.0128,-0.00512,,,,overvoltage_thres,100.0
25717,0,-0.00512,0,0.00256,0,0,-0.00512,0.00256,-0.02304,-0.00512,-0.0128,,,,undervoltage_thres,-5.0
25817,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.0128,-0.0128,0.00256,,,,ma1max,1.150081753730774
25917,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.0128,-0.0128,0.00256,,,,ma3,0.19168028235435486
26016,0,0,0,0,0,0,0,0,-0.0128,-0.0128,-0.0128,,,,mcu_max_temp,120.0
26117,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.0128,-0.0128,0.00256,,,,wh1_timeout_thres,20000
26217,0,-0.00256,0,0.00256,0,0,-0.00256,0.00256,-0.0128,-0.00512,-0.0128,,,,warning_interval,5000
26316,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,error_reset_interval,5000
26417,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,startup_time,1000
26517,0,-0.00512,0,-0.00512,0,0,-0.00512,-0.00512,-0.0128,-0.00512,0.00256,,,,mcu_reset_interval,10000
26616,0,0,0,0.00512,0,0,0,0.00512,-0.00512,0.00256,-0.0128,,,,data_logger_ts_div,1
26717,0,-0.00256,0,-0.01024,0,0,-0.00256,-0.01024,-0.00512,-0.0128,0.01024,,,,params_init_key,1122867
26817,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,
26916,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,#MONITOR,
27016,0,0,0,0.00256,0,0,0,0.00256,-0.00512,-0.00512,-0.0128,,,,num_max_trq,num_min_trq,max_velocity,min_velocity,velocity_request,num_trq_req,control_mode_command,vcu_command,critical_hw_status,aux_hw_status,last_error,sys_status,handler_status,latched_error,actual_state,control_mode_actual,limiter_flags,Id_ref,Iq_ref,Id_filt,Iq_filt,trq_ref,trq_actual,flux_ref,flux_actual,pwr_ref,pwr_actual,motor_rpm,Vdc,Vdc_max,num_max_trq,vcu_max_velocity,Imax_total,Imin_total,Iq_ref_request,max_velocity,min_velocity,motor_temp,igbt_temp,nominal_rpm,I1,I2,I3,I1max,I2max,I3max,ambient_temp,ambient_humidity,cc_time,cc_ts,sp_time,sp_ts
27117,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp | IGBTTemp,0.0,0.0,-0.002899999963119626,-0.0008999999845400453,0.0,2.1808079964102944e-06,0.0,-0.0008077066740952432,0.0,0.0,0,152.35411071777344,152.5902862548828,0,0,0.0,0.0,0.0,0,0,154.7809295654297,76.09606170654297,702.5910034179688,-0.012608671560883522,-0.0042028906755149364,-0.012608671560883522,0.04624323919415474,0.04626041650772095,0.0630277618765831,0.0,0.0,3.4127273559570312,100.0,1.5818182229995728,200.447265625
27217,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-0.0010999999940395355,0.0010999999940395355,0.0,-2.495643684596871e-06,0.0,-0.0007562557002529502,0.0,-0.0,0,152.3162841796875,152.5902862548828,0,0,0.0,0.0,0.0,0,0,-10.0,76.12923431396484,702.4165649414062,-0.004203930962830782,-0.004203930962830782,-0.012611792422831059,0.04624323919415474,0.04626041650772095,0.0630277618765831,0.0,0.0,3.943636417388916,100.05818176269531,1.5418181419372559,200.052734375
27316,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27417,0,-0.01024,0,-0.00512,0,0,-0.01024,-0.00512,-0.02304,-0.00512,0.00256,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27517,0,0,0,-0.00768,0,0,0,-0.00768,-0.00512,-0.0128,0.00256,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27617,0,-0.00512,0,0,0,0,-0.00512,0,-0.02304,-0.0128,-0.0128,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27717,0,-0.00512,0,-0.01024,0,0,-0.00512,-0.01024,-0.0128,-0.0128,0.01024,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27817,0,0.00256,0,0,0,0,0.00256,0,-0.00512,-0.0128,-0.0128,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27917,0,0.00768,0,0.00256,0,0,0.00768,0.00256,0.00256,-0.0128,-0.02304,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28017,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28117,0,-0.00512,0,0.00256,0,0,-0.00512,0.00256,-0.02304,-0.00512,-0.0128,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28216,0,-0.00512,0,0.00512,0,0,-0.00512,0.00512,-0.0128,0.00256,-0.0128,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28316,0,0.00256,0,-0.00512,0,0,0.00256,-0.00512,0.00256,-0.0128,-0.00512,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28417,0,0.00256,0,-0.00768,0,0,0.00256,-0.00768,-0.00512,-0.02304,-0.00512,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28517,0,-0.01024,0,-0.00512,0,0,-0.01024,-0.00512,-0.02304,-0.00512,0.00256,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
