CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,,,,#SETTINGS,
12777,0,-0.00512,0,0.00512,0,0,-0.00512,0.00512,-0.0128,0.00256,-0.0128,,,,#SETTINGS,
12786,0,-0.00256,0,0.00256,0,0,-0.00256,0.00256,-0.00512,0.00256,-0.00512,,,,motor_type,INDUCTION
12796,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,sensor,inc_encoder
12807,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.00512,-0.00512,0.01024,,,,motor_connection,DELTA
12817,0,0,0,-0.0128,0,0,0,-0.0128,-0.00512,-0.02304,0.01024,,,,sampling_timing,SYNC
12827,0,0.00256,0,-0.0128,0,0,0.00256,-0.0128,0.00256,-0.02304,0.01024,,,,mode,FOC
12836,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,0.00256,0.00256,0.01024,,,,sensored_control,ENABLED
12846,0,0,0,0.00256,0,0,0,0.00256,0.00256,0.00256,-0.00512,,,,Fs_trq,100
12856,0,0.00256,0,0,0,0,0.00256,0,0.00256,-0.00512,-0.00512,,,,Fs_speed,5
12866,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,Fswitching,50
12876,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,zero_sequence,NONE
12886,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,Imax_ph,6.0
12896,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,Inom_ph,6.0
12906,0,-0.00256,0,-0.01024,0,0,-0.00256,-0.01024,-0.00512,-0.0128,0.01024,,,,I_o_ph,6.0
12917,0,-0.00256,0,-0.01024,0,0,-0.00256,-0.01024,-0.00512,-0.0128,0.01024,,,,overload_interval,1.2400000095367432
12926,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,overload_limiter,0.699999988079071
12936,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,t_drop,1.7999999523162842
12946,0,0.00768,0,0,0,0,0.00768,0,0.01024,-0.0128,-0.0128,,,,motor_temp_derate_thres,115.0
12956,0,0.00256,0,0.00768,0,0,0.00256,0.00768,0.01024,0.01024,-0.0128,,,,motor_temp_max_thres,140.0
12966,0,-0.01024,0,0.00512,0,0,-0.01024,0.00512,-0.02304,0.01024,-0.00512,,,,igbt_temp_derate_thres,55.0
12976,0,-0.01024,0,0.00256,0,0,-0.01024,0.00256,-0.02304,0.00256,-0.00512,,,,igbt_temp_max_thres,80.0
12986,0,-0.00512,0,0.00512,0,0,-0.00512,0.00512,-0.0128,0.00256,-0.0128,,,,v_base,325.2691345214844
12996,0,-0.00256,0,0.00256,0,0,-0.00256,0.00256,-0.0128,-0.00512,-0.0128,,,,I_base,5.0911688804626465
13007,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,no_load_rpm,1500
13017,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.0128,-0.0128,-0.00512,,,,nom_rpm,1500
13027,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,max_rpm,2000
13037,0,-0.00256,0,0.00256,0,0,-0.00256,0.00256,-0.00512,0.00256,-0.00512,,,,min_rpm,-2000
13047,0,0,0,0.00512,0,0,0,0.00512,-0.00512,0.00256,-0.0128,,,,Rs,4.300000190734863
13056,0,0,0,0.00256,0,0,0,0.00256,-0.00512,-0.00512,-0.0128,,,,Rr,2.299999952316284
13066,0,-0.00512,0,-0.00512,0,0,-0.00512,-0.00512,-0.0128,-0.00512,0.00256,,,,Lls,0.020800000056624413
13076,0,-0.01024,0,0.00256,0,0,-0.01024,0.00256,-0.0128,0.01024,0.00256,,,,Llr,0.020800000056624413
13087,0,-0.00512,0,0.01024,0,0,-0.00512,0.01024,-0.0128,0.01024,-0.02304,,,,Lm,0.3353999853134155
13097,0,0,0,0.00256,0,0,0,0.00256,-0.0128,-0.0128,-0.02304,,,,Lsig,0.041600000113248825
13106,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,psi_nom,0.8899999856948853
13116,0,0.00256,0,-0.00768,0,0,0.00256,-0.00768,-0.00512,-0.02304,-0.00512,,,,psi_min,0.17800000309944153
13126,0,0.00256,0,-0.00768,0,0,0.00256,-0.00768,-0.00512,-0.02304,-0.00512,,,,J,0.10000000149011612
13136,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,b,0.0
13147,0,0.00256,0,-0.00768,0,0,0.00256,-0.00768,0.00256,-0.0128,0.00256,,,,np,2.0
13156,0,0.00256,0,-0.00768,0,0,0.00256,-0.00768,0.00256,-0.0128,0.00256,,,,Ld,0.0005000000237487257
13166,0,0.00256,0,-0.00512,0,0,0.00256,-0.00512,0.00256,-0.0128,-0.00512,,,,Lq,0.0005000000237487257
13176,0,0.00256,0,0,0,0,0.00256,0,0.00256,-0.00512,-0.00512,,,,max_trq_num,21000
13186,0,-0.01024,0,-0.00512,0,0,-0.01024,-0.00512,-0.02304,-0.00512,0.00256,,,,cc_trise,0.0020000000949949026
13196,0,-0.01024,0,-0.00512,0,0,-0.01024,-0.00512,-0.02304,-0.00512,0.00256,,,,spdc_trise,0.10000000149011612
13207,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,mcm_trise,0.05999999865889549
13216,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,scvm_trise,0.05999999865889549
13226,0,0,0,0,0,0,0,0,-0.0128,-0.0128,-0.0128,,,,fw_trise,0.019999999552965164
13236,0,-0.00256,0,0.00256,0,0,-0.00256,0.00256,-0.0128,-0.00512,-0.0128,,,,current_ramp_time,100.0
13246,0,-0.00512,0,-0.00512,0,0,-0.00512,-0.00512,-0.0128,-0.00512,0.00256,,,,velocity_ramp_time,100.0
13256,0,-0.00768,0,0,0,0,-0.00768,0,-0.0128,0.00256,0.00256,,,,spd_ref_offset,50.0
13266,0,0,0,0.00256,0,0,0,0.00256,0.00256,0.00256,-0.00512,,,,low_rpm_thres,3000.0
13277,0,0.00256,0,0,0,0,0.00256,0,0.00256,-0.00512,-0.00512,,,,min_freq,0.0
13286,0,0.00256,0,0.00512,0,0,0.00256,0.00512,-0.00512,-0.00512,-0.02304,,,,max_power,45.0
13297,0,0.00256,0,0.00512,0,0,0.00256,0.00512,-0.00512,-0.00512,-0.02304,,,,min_power,-45.0
13306,0,0,0,0.00256,0,0,0,0.00256,-0.00512,-0.00512,-0.0128,,,,voltage_trise,0.009999999776482582
13316,0,0,0,0.00512,0,0,0,0.00512,-0.00512,0.00256,-0.0128,,,,voltage_tfall,0.009999999776482582
13327,0,0.00256,0,0.00256,0,0,0.00256,0.00256,0.01024,0.00256,-0.00512,,,,ocd_thres,25.0
13337,0,0.00768,0,-0.00768,0,0,0.00768,-0.00768,0.01024,-0.02304,-0.00512,,,,overvoltage_thres,100.0
13347,0,0.00768,0,-0.00768,0,0,0.00768,-0.00768,0.01024,-0.02304,-0.00512,,,,undervoltage_thres,-5.0
13357,0,0.00256,0,0.00256,0,0,0.00256,0.00256,0.01024,0.00256,-0.00512,,,,ma1max,1.150081753730774
13366,0,-0.00512,0,0,0,0,-0.00512,0,-0.00512,0.00256,0.00256,,,,ma3,0.19168028235435486
13377,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,mcu_max_temp,120.0
13386,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,wh1_timeout_thres,20000
13396,0,0,0,-0.00512,0,0,0,-0.00512,-0.00512,-0.0128,-0.00512,,,,warning_interval,5000
13407,0,0,0,-0.00768,0,0,0,-0.00768,-0.00512,-0.0128,0.00256,,,,error_reset_interval,5000
13416,0,-0.00512,0,0,0,0,-0.00512,0,-0.00512,0.00256,0.00256,,,,startup_time,1000
13426,0,0,0,0,0,0,0,0,0.00256,0.00256,0.00256,,,,mcu_reset_interval,10000
13437,0,0.00256,0,-0.00768,0,0,0.00256,-0.00768,0.00256,-0.0128,0.00256,,,,data_logger_ts_div,1
13446,0,0,0,-0.00768,0,0,0,-0.00768,-0.00512,-0.0128,0.00256,,,,params_init_key,1122867
13457,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,
13466,0,-0.01024,0,-0.00768,0,0,-0.01024,-0.00768,-0.02304,-0.00512,0.01024,,,,#MONITOR,
13477,0,-0.01024,0,-0.01024,0,0,-0.01024,-0.01024,-0.02304,-0.0128,0.01024,,,,num_max_trq,num_min_trq,max_velocity,min_velocity,velocity_request,num_trq_req,control_mode_command,vcu_command,critical_hw_status,aux_hw_status,last_error,sys_status,handler_status,latched_error,actual_state,control_mode_actual,limiter_flags,Id_ref,Iq_ref,Id_filt,Iq_filt,trq_ref,trq_actual,flux_ref,flux_actual,pwr_ref,pwr_actual,motor_rpm,Vdc,Vdc_max,num_max_trq,vcu_max_velocity,Imax_total,Imin_total,Iq_ref_request,max_velocity,min_velocity,motor_temp,igbt_temp,nominal_rpm,I1,I2,I3,I1max,I2max,I3max,ambient_temp,ambient_humidity,cc_time,cc_ts,sp_time,sp_ts
13486,0,0.00256,0,0,0,0,0.00256,0,-0.00512,-0.0128,-0.0128,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,NO_LV_SUPPLY,NO_LV_SUPPLY,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,IGBTTemp,0.0,0.0,-0.000699999975040555,-0.0017999999690800905,0.0,2.1110947727720486e-06,0.0,-0.00039094348903745413,0.0,0.0,0,152.21400451660156,152.42605590820312,0,0,0.0,0.0,0.0,0,0,-10.0,76.13524627685547,701.9448852539062,-0.012612313032150269,0.00420410418882966,-0.012612313032150269,0.0378509946167469,0.03784786909818649,0.0546601228415966,0.0,0.0,4.3890910148620605,8.785454750061035,2.0363636016845703,199.89273071289062
13497,0,0,0,0.00256,0,0,0,0.00256,-0.00512,-0.00512,-0.0128,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_ENABLED | HW_INV_ERROR | HW_FAULT_LATCHED | HW_MCU_DISABLE | HW_GD_FLT | HW_GD_RDY_ERROR | HW_SENSOR_A_DC | HW_SENSOR_B_DC | HW_SENSOR_C_DC,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp | IGBTTemp,0.0,0.0,-0.0005999999702908099,-0.001999999862164259,0.0,2.4628504888823954e-06,0.0,-0.0004104750987607986,0.0,0.0,0,152.222900390625,152.42605590820312,0,0,0.0,0.0,0.0,0,0,154.40664672851562,76.17510223388672,701.9859008789062,-0.004202717449516058,-0.004202717449516058,-0.004202717449516058,0.0378509946167469,0.03784786909818649,0.0546601228415966,0.0,0.0,3.7163636684417725,10.0345458984375,1.5199999809265137,199.9127197265625
13507,0,-0.00512,0,-0.00768,0,0,-0.00512,-0.00768,-0.00512,-0.00512,0.01024,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13516,0,-0.00768,0,0,0,0,-0.00768,0,-0.00512,0.01024,0.01024,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13527,0,-0.00512,0,0.00256,0,0,-0.00512,0.00256,-0.00512,0.01024,0.00256,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13537,0,-0.00256,0,-0.00512,0,0,-0.00256,-0.00512,-0.00512,-0.00512,0.00256,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13547,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13556,0,-0.00512,0,0,0,0,-0.00512,0,-0.0128,-0.00512,-0.00512,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13567,0,-0.00512,0,-0.00512,0,0,-0.00512,-0.00512,-0.0128,-0.00512,0.00256,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13577,0,-0.00512,0,-0.00512,0,0,-0.00512,-0.00512,-0.0128,-0.00512,0.00256,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13586,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13596,0,-0.00256,0,0.00256,0,0,-0.00256,0.00256,-0.00512,0.00256,-0.00512,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13607,0,-0.01024,0,-0.00512,0,0,-0.01024,-0.00512,-0.0128,0.00256,0.01024,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13616,0,-0.00512,0,-0.01024,0,0,-0.00512,-0.01024,-0.0128,-0.0128,0.01024,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
