CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,,,,#SETTINGS,
63000,0,0.18944,0,0.03072,0,0,0.18944,0.03072,0.24832,-0.19968,-0.29184,,,,#SETTINGS,
65500,0,0,0,0.04352,0,0,0,0.04352,0.13824,0.2048,0.06912,,,,motor_type,INDUCTION
2463,0,-0.1024,0,0.09728,0,0,-0.1024,0.09728,-0.25856,0.1536,-0.1408,,,,sensor,inc_encoder
4964,0,0.01792,0,-0.00768,0,0,0.01792,-0.00768,-0.02304,-0.08192,-0.064,,,,motor_connection,DELTA
7464,0,-0.05888,0,-0.00768,0,0,-0.05888,-0.00768,-0.0896,0.05376,0.06912,,,,sampling_timing,SYNC
9963,0,0.05632,0,-0.0896,0,0,0.05632,-0.0896,0.07936,-0.19968,0.06144,,,,mode,FOC
12463,0,-0.01024,0,-0.02048,0,0,-0.01024,-0.02048,-0.12288,-0.13312,-0.07168,,,,sensored_control,ENABLED
14964,0,0.0256,0,-0.03584,0,0,0.0256,-0.03584,0.03584,-0.08192,0.02048,,,,Fs_trq,40
17463,0,0.0768,0,0.09984,0,0,0.0768,0.09984,0.05376,0.00256,-0.29952,,,,Fs_speed,5
19963,0,-0.02816,0,0.0128,0,0,-0.02816,0.0128,-0.10752,-0.0128,-0.05632,,,,Fswitching,20
22463,0,-0.03328,0,-0.05632,0,0,-0.03328,-0.05632,-0.13312,-0.13312,0.03584,,,,zero_sequence,THIRD_HARMONIC_INJECTION
24963,0,0.02048,0,0.05888,0,0,0.02048,0.05888,-0.04864,-0.0128,-0.192,,,,Imax_ph,6.0
27463,0,-0.05888,0,-0.02816,0,0,-0.05888,-0.02816,-0.29952,-0.192,-0.10752,,,,Inom_ph,6.0
29963,0,0.04096,0,-0.04096,0,0,0.04096,-0.04096,0.06912,-0.09728,0.02048,,,,I_o_ph,6.0
32464,0,0.06656,0,-0.06912,0,0,0.06656,-0.06912,0.02816,-0.25088,-0.04864,,,,overload_interval,1.2400000095367432
34963,0,-0.09216,0,0.02048,0,0,-0.09216,0.02048,-0.32512,-0.05632,-0.12288,,,,overload_limiter,0.699999988079071
37463,0,0.00512,0,-0.00768,0,0,0.00512,-0.00768,-0.07168,-0.09728,-0.08192,,,,t_drop,1.7999999523162842
39963,0,0.00256,0,0.04864,0,0,0.00256,0.04864,0.04608,0.11264,-0.0384,,,,motor_temp_derate_thres,115.0
42463,0,0.00768,0,-0.0128,0,0,0.00768,-0.0128,0.11264,0.06912,0.10496,,,,motor_temp_max_thres,140.0
44963,0,-0.05376,0,0.09472,0,0,-0.05376,0.09472,-0.192,0.08704,-0.19968,,,,igbt_temp_derate_thres,55.0
47463,0,-0.13824,0,-0.01536,0,0,-0.13824,-0.01536,-0.3584,-0.02304,0.02048,,,,igbt_temp_max_thres,80.0
49963,0,0.06912,0,0.04608,0,0,0.06912,0.04608,0.14592,0.03584,-0.10752,,,,v_base,325.2691345214844
52463,0,-0.04608,0,-0.0128,0,0,-0.04608,-0.0128,-0.02304,0.07936,0.11264,,,,I_base,5.0911688804626465
54963,0,-0.01536,0,0.03584,0,0,-0.01536,0.03584,-0.00512,0.08704,-0.02304,,,,no_load_rpm,1500
57464,0,-0.05376,0,-0.01792,0,0,-0.05376,-0.01792,-0.02304,0.08704,0.13824,,,,nom_rpm,1500
59963,0,0.03072,0,0.00256,0,0,0.03072,0.00256,0.01024,-0.064,-0.07168,,,,max_rpm,2000
62463,0,0.0384,0,0.04096,0,0,0.0384,0.04096,-0.07168,-0.1152,-0.24064,,,,min_rpm,-2000
64963,0,-0.0512,0,0.01792,0,0,-0.0512,0.01792,-0.0384,0.12032,0.06144,,,,Rs,4.300000190734863
1927,0,-0.07168,0,-0.03328,0,0,-0.07168,-0.03328,-0.12288,0.01024,0.10496,,,,Rr,2.299999952316284
4427,0,0.03584,0,0.03584,0,0,0.03584,0.03584,0.10496,0.06144,-0.04864,,,,Lls,0.020800000056624413
6927,0,0.04352,0,0.00256,0,0,0.04352,0.00256,0.16384,0.05376,0.04608,,,,Llr,0.020800000056624413
9427,0,0.08192,0,0.00512,0,0,0.08192,0.00512,0.13056,-0.08192,-0.09728,,,,Lm,0.3353999853134155
11927,0,-0.01536,0,0.04352,0,0,-0.01536,0.04352,0.04608,0.14592,0.01024,,,,Lsig,0.041600000113248825
14428,0,0.03584,0,-0.02048,0,0,0.03584,-0.02048,0.11264,-0.0128,0.04608,,,,psi_nom,0.8899999856948853
16927,0,-0.11776,0,-0.09472,0,0,-0.11776,-0.09472,-0.32512,-0.1664,0.11264,,,,psi_min,0.17800000309944153
19427,0,0.06912,0,0.00768,0,0,0.06912,0.00768,0.06912,-0.09728,-0.12288,,,,J,0.10000000149011612
21927,0,-0.04096,0,-0.06144,0,0,-0.04096,-0.06144,-0.1152,-0.09728,0.07936,,,,b,0.0
24428,0,0,0,-0.04864,0,0,0,-0.04864,0.02048,-0.05632,0.08704,,,,np,2.0
26927,0,-0.00768,0,0.02048,0,0,-0.00768,0.02048,-0.0384,0.01024,-0.05632,,,,Ld,0.0005000000237487257
29427,0,0.02816,0,0.13824,0,0,0.02816,0.13824,0.02048,0.1536,-0.26624,,,,Lq,0.0005000000237487257
31927,0,0.00256,0,-0.04352,0,0,0.00256,-0.04352,-0.07168,-0.14848,-0.02304,,,,max_trq_num,21000
34427,0,0.0384,0,-0.03328,0,0,0.0384,-0.03328,0.04608,-0.10752,-0.0128,,,,cc_trise,0.0020000000949949026
36927,0,0.01536,0,0.0512,0,0,0.01536,0.0512,0.07936,0.11264,-0.04864,,,,spdc_trise,0.10000000149011612
39427,0,0.00256,0,-0.00768,0,0,0.00256,-0.00768,-0.03072,-0.04864,-0.03072,,,,mcm_trise,0.05999999865889549
41927,0,-0.05888,0,-0.04352,0,0,-0.05888,-0.04352,-0.05632,0.02816,0.1536,,,,scvm_trise,0.05999999865889549
44428,0,0.01024,0,0.05888,0,0,0.01024,0.05888,-0.0384,0.02048,-0.15616,,,,fw_trise,0.019999999552965164
46927,0,-0.01536,0,-0.0768,0,0,-0.01536,-0.0768,-0.0128,-0.0896,0.13824,,,,current_ramp_time,100.0
49427,0,-0.03328,0,-0.01024,0,0,-0.03328,-0.01024,-0.0384,0.02816,0.05376,,,,velocity_ramp_time,100.0
51927,0,-0.02304,0,0.02304,0,0,-0.02304,0.02304,-0.1152,-0.02304,-0.09728,,,,spd_ref_offset,50.0
54427,0,0.01536,0,-0.01536,0,0,0.01536,-0.01536,-0.064,-0.13312,-0.0896,,,,low_rpm_thres,3000.0
56927,0,-0.05376,0,0.0768,0,0,-0.05376,0.0768,-0.05632,0.19712,-0.0384,,,,min_freq,0.0
59427,0,0.03584,0,0.12544,0,0,0.03584,0.12544,0.08704,0.1792,-0.19968,,,,max_power,45.0
61927,0,0.00256,0,0.04352,0,0,0.00256,0.04352,0.06144,0.12032,-0.0128,,,,min_power,-45.0
64427,0,-0.04608,0,0.064,0,0,-0.04608,0.064,-0.1408,0.06912,-0.12288,,,,voltage_trise,0.009999999776482582
1391,0,-0.04608,0,0.0256,0,0,-0.04608,0.0256,-0.12288,0.03584,-0.04864,,,,voltage_tfall,0.009999999776482582
3891,0,0.01024,0,-0.01024,0,0,0.01024,-0.01024,0.13824,0.09472,0.12032,,,,ocd_thres,25.0
6391,0,0.00768,0,-0.01536,0,0,0.00768,-0.01536,0.13056,0.08704,0.13056,,,,overvoltage_thres,100.0
8891,0,0.0256,0,0.03328,0,0,0.0256,0.03328,0.05376,0.03584,-0.064,,,,undervoltage_thres,-5.0
11391,0,0.03072,0,-0.0384,0,0,0.03072,-0.0384,0.00256,-0.13312,-0.02304,,,,ma1max,1.150081753730774
13891,0,-0.09728,0,-0.03328,0,0,-0.09728,-0.03328,-0.13312,0.06912,0.16384,,,,ma3,0.19168028235435486
16391,0,-0.1024,0,-0.00768,0,0,-0.1024,-0.00768,-0.17408,0.07936,0.09472,,,,mcu_max_temp,120.0
18892,0,-0.07424,0,0.00256,0,0,-0.07424,0.00256,-0.17408,0.02048,0.01024,,,,wh1_timeout_thres,20000
21391,0,0.01792,0,-0.0128,0,0,0.01792,-0.0128,0.12032,0.05376,0.08704,,,,warning_interval,5000
23891,0,-0.1152,0,0.03328,0,0,-0.1152,0.03328,-0.33536,0.01024,-0.0896,,,,error_reset_interval,5000
26391,0,0.00256,0,0.1024,0,0,0.00256,0.1024,-0.07168,0.06912,-0.24064,,,,startup_time,1000
28891,0,-0.07168,0,-0.07168,0,0,-0.07168,-0.07168,-0.22528,-0.14848,0.06144,,,,mcu_reset_interval,10000
31391,0,-0.06656,0,-0.07168,0,0,-0.06656,-0.07168,-0.15616,-0.0896,0.12032,,,,data_logger_ts_div,100
33891,0,-0.07168,0,-0.06912,0,0,-0.07168,-0.06912,-0.1408,-0.05632,0.14592,,,,params_init_key,1122867
36391,0,-0.02304,0,0.04352,0,0,-0.02304,0.04352,-0.05632,0.06912,-0.064,,,,
38891,0,-0.01024,0,-0.01536,0,0,-0.01024,-0.01536,0.02048,0.02048,0.06144,,,,#MONITOR,
41391,0,0.08704,0,-0.02304,0,0,0.08704,-0.02304,0.14592,-0.1152,-0.04864,,,,num_max_trq,num_min_trq,max_velocity,min_velocity,velocity_request,num_trq_req,control_mode_command,vcu_command,critical_hw_status,aux_hw_status,last_error,sys_status,handler_status,latched_error,actual_state,control_mode_actual,limiter_flags,Id_ref,Iq_ref,Id_filt,Iq_filt,trq_ref,trq_actual,flux_ref,flux_actual,pwr_ref,pwr_actual,motor_rpm,Vdc,Vdc_max,num_max_trq,vcu_max_velocity,Imax_total,Imin_total,Iq_ref_request,max_velocity,min_velocity,motor_temp,igbt_temp,nominal_rpm,I1,I2,I3,I1max,I2max,I3max,ambient_temp,ambient_humidity,cc_time,cc_ts,sp_time,sp_ts
43891,0,-0.0512,0,-0.05376,0,0,-0.0512,-0.05376,-0.09728,-0.04864,0.11264,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,0.019500000402331352,0.018299998715519905,0.0,1.0106744412041735e-05,0.0,0.00018409371841698885,0.0,0.0,0,-0.10200431942939758,0.10202039033174515,0,0,0.0,0.0,0.0,0,0,152.58181762695312,23.0966739654541,-0.4703996181488037,0.3752601146697998,-0.04638046398758888,0.004216406028717756,0.5608049035072327,0.6535428762435913,0.5861043930053711,0.0,0.0,4.136363506317139,25.061819076538086,1.5745455026626587,200.0181884765625
46392,0,0.08192,0,0.00256,0,0,0.08192,0.00256,0.26368,0.05376,0.04608,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,-0.0009999999310821295,0.0032999999821186066,0.0,9.202512046613265e-06,0.0,0.0009295467170886695,0.0,0.0,0,-0.10198823362588882,0.10202039033174515,0,0,0.0,0.0,0.0,0,0,152.3724822998047,23.0949649810791,-0.47032544016838074,-0.2150454819202423,-0.11384761333465576,-0.12228076905012131,0.5608049035072327,0.6535428762435913,0.5861043930053711,0.0,0.0,4.065454483032227,25.003637313842773,1.556363582611084,199.97817993164062
48891,0,-0.01792,0,0.01024,0,0,-0.01792,0.01024,0.09472,0.1536,0.12032,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,0.013199999928474426,0.002699999837204814,0.0,-7.075089342833962e-06,0.0,-0.0008734678849577904,0.0,-0.0,0,-0.10198823362588882,0.10202039033174515,0,0,0.0,0.0,0.0,0,0,152.47666931152344,23.0949649810791,-0.47032544016838074,-0.139147087931633,-0.012649734504520893,0.00421657832339406,0.5608049035072327,0.6535428762435913,0.5861043930053711,0.0,0.0,4.127272605895996,24.994544982910156,1.603636384010315,199.97454833984375
51391,0,-0.08448,0,0.05888,0,0,-0.08448,0.05888,-0.13312,0.17152,-0.00512,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,0.006399999838322401,-0.007999999448657036,0.0,5.309775588102639e-05,0.0,-0.002212406601756811,0.0,0.0,0,-0.10197215527296066,0.10202039033174515,0,0,0.0,0.0,0.0,0,0,152.3724822998047,23.0970401763916,-0.47025129199028015,-0.012649734504520893,0.021082891151309013,-0.054815515875816345,0.5608049035072327,0.6535428762435913,0.5861043930053711,0.0,0.0,4.181818008422852,25.054546356201172,1.5145454406738281,199.9709014892578
53892,0,0.00256,0,-0.00512,0,0,0.00256,-0.00512,-0.0896,-0.10752,-0.09728,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56391,0,0.03072,0,0.00256,0,0,0.03072,0.00256,0.02048,-0.05632,-0.064,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58891,0,0.0256,0,-0.01536,0,0,0.0256,-0.01536,-0.12288,-0.21504,-0.17408,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61391,0,0.00256,0,0.07424,0,0,0.00256,0.07424,0.16384,0.26368,0.03584,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63891,0,0.02304,0,0.064,0,0,0.02304,0.064,0.04608,0.07936,-0.1152,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
855,0,-0.01024,0,0.09216,0,0,-0.01024,0.09216,-0.1408,0.02048,-0.25856,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3355,0,0.00768,0,-0.04608,0,0,0.00768,-0.04608,0.18944,0.09472,0.2304,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5855,0,0.01024,0,0.00768,0,0,0.01024,0.00768,-0.064,-0.08192,-0.10752,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8355,0,0.07168,0,-0.0256,0,0,0.07168,-0.0256,0.08704,-0.1408,-0.064,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10855,0,-0.06144,0,-0.11008,0,0,-0.06144,-0.11008,-0.17408,-0.18176,0.14592,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13355,0,0.07168,0,-0.01536,0,0,0.07168,-0.01536,0.07936,-0.13312,-0.0896,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
