CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,,,,#SETTINGS,
51248,0,0.03584,0,0.05888,0,0,0.03584,0.05888,-0.0128,-0.02304,-0.19968,,,,#SETTINGS,
53748,0,0.00256,0,0.03072,0,0,0.00256,0.03072,0.02048,0.05376,-0.0384,,,,motor_type,INDUCTION
56249,0,-0.04096,0,0.0128,0,0,-0.04096,0.0128,-0.02304,0.10496,0.06144,,,,sensor,inc_encoder
58748,0,-0.01536,0,-0.02816,0,0,-0.01536,-0.02816,-0.18176,-0.192,-0.10752,,,,motor_connection,DELTA
61248,0,-0.09984,0,-0.00768,0,0,-0.09984,-0.00768,-0.1408,0.10496,0.12032,,,,sampling_timing,SYNC
63748,0,-0.05888,0,-0.00512,0,0,-0.05888,-0.00512,-0.1408,0.00256,0.01024,,,,mode,FOC
712,0,0.0128,0,0.06144,0,0,0.0128,0.06144,0.07936,0.13824,-0.04864,,,,sensored_control,ENABLED
3212,0,0.03328,0,0.0128,0,0,0.03328,0.0128,0.10496,0.03584,-0.00512,,,,Fs_trq,40
5712,0,0.02304,0,-0.02048,0,0,0.02304,-0.02048,0.02816,-0.064,-0.00512,,,,Fs_speed,5
8212,0,0.00768,0,0.0896,0,0,0.00768,0.0896,-0.02304,0.08704,-0.18176,,,,Fswitching,20
10712,0,-0.0256,0,0.08704,0,0,-0.0256,0.08704,-0.0128,0.1792,-0.08192,,,,zero_sequence,THIRD_HARMONIC_INJECTION
13212,0,0.01536,0,-0.0384,0,0,0.01536,-0.0384,0.05376,-0.04864,0.06144,,,,Imax_ph,6.0
15712,0,-0.07168,0,0.01792,0,0,-0.07168,0.01792,-0.1152,0.09472,0.03584,,,,Inom_ph,6.0
18212,0,-0.05632,0,-0.02816,0,0,-0.05632,-0.02816,-0.10752,-0.00512,0.07936,,,,I_o_ph,6.0
20712,0,-0.00768,0,-0.02816,0,0,-0.00768,-0.02816,0.09472,0.06912,0.1536,,,,overload_interval,1.2400000095367432
23212,0,0.02816,0,-0.04096,0,0,0.02816,-0.04096,0.00256,-0.13312,-0.0128,,,,overload_limiter,0.699999988079071
25712,0,-0.01536,0,-0.02304,0,0,-0.01536,-0.02304,0.00256,0.00256,0.06912,,,,t_drop,1.7999999523162842
28212,0,0.0128,0,-0.00512,0,0,0.0128,-0.00512,-0.064,-0.10752,-0.09728,,,,motor_temp_derate_thres,115.0
30712,0,-0.03584,0,0.07936,0,0,-0.03584,0.07936,-0.0896,0.12032,-0.12288,,,,motor_temp_max_thres,140.0
33212,0,-0.03328,0,0.0384,0,0,-0.03328,0.0384,-0.05632,0.08704,-0.03072,,,,igbt_temp_derate_thres,55.0
35712,0,-0.04096,0,-0.0512,0,0,-0.04096,-0.0512,-0.04864,-0.02304,0.13056,,,,igbt_temp_max_thres,80.0
38212,0,0.01536,0,-0.04608,0,0,0.01536,-0.04608,0.06144,-0.04864,0.08704,,,,v_base,325.2691345214844
40712,0,-0.02304,0,0.00512,0,0,-0.02304,0.00512,-0.1408,-0.07168,-0.0896,,,,I_base,5.0911688804626465
43212,0,-0.0256,0,-0.0768,0,0,-0.0256,-0.0768,-0.14848,-0.19968,0.02816,,,,no_load_rpm,1500
45712,0,0.03072,0,-0.06144,0,0,0.03072,-0.06144,0.12032,-0.04864,0.13056,,,,nom_rpm,1500
48212,0,0.05888,0,-0.0256,0,0,0.05888,-0.0256,0.07936,-0.1152,-0.0384,,,,max_rpm,2000
50712,0,0.04608,0,0.01792,0,0,0.04608,0.01792,0.00256,-0.0896,-0.14848,,,,min_rpm,-2000
53212,0,0.06144,0,0,0,0,0.06144,0,0.1792,0.02048,0.02048,,,,Rs,4.300000190734863
55712,0,0.00768,0,0.06144,0,0,0.00768,0.06144,-0.03072,0.03584,-0.14848,,,,Rr,2.299999952316284
58212,0,0.06656,0,0.05376,0,0,0.06656,0.05376,0.16384,0.06912,-0.09728,,,,Lls,0.020800000056624413
60712,0,-0.0128,0,-0.01024,0,0,-0.0128,-0.01024,-0.00512,0.01024,0.03584,,,,Llr,0.020800000056624413
63212,0,0.03584,0,0.04608,0,0,0.03584,0.04608,0.07936,0.05376,-0.0896,,,,Lm,0.3353999853134155
176,0,-0.03584,0,0.02304,0,0,-0.03584,0.02304,0.02816,0.1536,0.07936,,,,Lsig,0.041600000113248825
2676,0,-0.0128,0,0.07424,0,0,-0.0128,0.07424,-0.17408,-0.03072,-0.25856,,,,psi_nom,0.8899999856948853
5176,0,0.02048,0,0.01792,0,0,0.02048,0.01792,-0.00512,-0.03072,-0.0896,,,,psi_min,0.17800000309944153
7676,0,-0.064,0,0.09472,0,0,-0.064,0.09472,-0.00512,0.29696,0.01024,,,,J,0.10000000149011612
10176,0,0.00512,0,0.02048,0,0,0.00512,0.02048,0.00256,0.02048,-0.04864,,,,b,0.0
12676,0,-0.064,0,0.06656,0,0,-0.064,0.06656,-0.1152,0.14592,-0.05632,,,,np,2.0
15176,0,-0.07424,0,-0.07168,0,0,-0.07424,-0.07168,-0.1152,-0.03072,0.1792,,,,Ld,0.0005000000237487257
17676,0,-0.08704,0,-0.0896,0,0,-0.08704,-0.0896,-0.24064,-0.14848,0.11264,,,,Lq,0.0005000000237487257
20176,0,-0.05376,0,-0.07168,0,0,-0.05376,-0.07168,-0.05632,-0.02304,0.18944,,,,max_trq_num,21000
22676,0,0.01792,0,-0.03584,0,0,0.01792,-0.03584,0.03584,-0.064,0.03584,,,,cc_trise,0.0020000000949949026
25176,0,-0.14848,0,0.04352,0,0,-0.14848,0.04352,-0.31744,0.13056,-0.00512,,,,spdc_trise,0.10000000149011612
27676,0,-0.09728,0,0.05888,0,0,-0.09728,0.05888,-0.07168,0.26368,0.08704,,,,mcm_trise,0.05999999865889549
30176,0,0.1536,0,0.0256,0,0,0.1536,0.0256,0.28928,-0.07168,-0.15616,,,,scvm_trise,0.05999999865889549
32676,0,-0.09216,0,-0.03584,0,0,-0.09216,-0.03584,-0.19968,-0.0128,0.08704,,,,fw_trise,0.019999999552965164
35176,0,-0.01792,0,-0.10496,0,0,-0.01792,-0.10496,-0.0384,-0.14848,0.16384,,,,current_ramp_time,100.0
37676,0,0.0128,0,0.04352,0,0,0.0128,0.04352,0.06144,0.09472,-0.0384,,,,velocity_ramp_time,100.0
40176,0,-0.07168,0,0.03072,0,0,-0.07168,0.03072,-0.20736,0.02048,-0.07168,,,,spd_ref_offset,50.0
42676,0,-0.02048,0,-0.13056,0,0,-0.02048,-0.13056,0.02048,-0.12288,0.26368,,,,low_rpm_thres,3000.0
45176,0,0.08192,0,-0.0384,0,0,0.08192,-0.0384,0.11264,-0.15616,-0.04864,,,,min_freq,0.0
47676,0,-0.03328,0,0.00256,0,0,-0.03328,0.00256,0.02816,0.11264,0.10496,,,,max_power,45.0
50176,0,0.02048,0,-0.0384,0,0,0.02048,-0.0384,-0.064,-0.17408,-0.064,,,,min_power,-45.0
52676,0,0.04096,0,-0.04608,0,0,0.04096,-0.04608,0.14592,-0.03072,0.10496,,,,voltage_trise,0.009999999776482582
55176,0,-0.06656,0,-0.05632,0,0,-0.06656,-0.05632,-0.17408,-0.0896,0.07936,,,,voltage_tfall,0.009999999776482582
57676,0,0,0,0,0,0,0,0,-0.00512,-0.00512,-0.00512,,,,ocd_thres,25.0
60176,0,-0.02048,0,-0.03584,0,0,-0.02048,-0.03584,-0.09728,-0.09728,0.00256,,,,overvoltage_thres,100.0
62676,0,-0.0896,0,-0.06144,0,0,-0.0896,-0.06144,-0.1152,0.02816,0.2048,,,,undervoltage_thres,-5.0
65176,0,0.02048,0,0.03072,0,0,0.02048,0.03072,0.01024,0.00256,-0.0896,,,,ma1max,1.150081753730774
2140,0,0.0384,0,0.05888,0,0,0.0384,0.05888,0.07168,0.05376,-0.12288,,,,ma3,0.19168028235435486
4640,0,-0.06656,0,0.02304,0,0,-0.06656,0.02304,0.02816,0.23808,0.16384,,,,mcu_max_temp,120.0
7140,0,0.0384,0,0.05888,0,0,0.0384,0.05888,0.03584,0.02048,-0.15616,,,,wh1_timeout_thres,20000
9640,0,-0.0128,0,0.06912,0,0,-0.0128,0.06912,-0.03072,0.10496,-0.10752,,,,warning_interval,5000
12140,0,-0.01024,0,-0.03584,0,0,-0.01024,-0.03584,-0.0896,-0.1152,-0.0128,,,,error_reset_interval,5000
14640,0,-0.0256,0,-0.08192,0,0,-0.0256,-0.08192,-0.0896,-0.14848,0.09472,,,,startup_time,1000
17140,0,0.0384,0,0.07168,0,0,0.0384,0.07168,0.06144,0.07168,-0.14848,,,,mcu_reset_interval,10000
19640,0,0.03328,0,0.06144,0,0,0.03328,0.06144,0.14592,0.14592,-0.0384,,,,data_logger_ts_div,100
22140,0,0.03328,0,-0.00512,0,0,0.03328,-0.00512,0.02816,-0.064,-0.05632,,,,params_init_key,1122867
24640,0,0.02048,0,0.09472,0,0,0.02048,0.09472,-0.10752,-0.02304,-0.30976,,,,
27140,0,0.01024,0,0.04608,0,0,0.01024,0.04608,-0.0384,0.00256,-0.1408,,,,#MONITOR,
29640,0,0.0128,0,-0.06144,0,0,0.0128,-0.06144,0.02048,-0.10752,0.07168,,,,num_max_trq,num_min_trq,max_velocity,min_velocity,velocity_request,num_trq_req,control_mode_command,vcu_command,critical_hw_status,aux_hw_status,last_error,sys_status,handler_status,latched_error,actual_state,control_mode_actual,limiter_flags,Id_ref,Iq_ref,Id_filt,Iq_filt,trq_ref,trq_actual,flux_ref,flux_actual,pwr_ref,pwr_actual,motor_rpm,Vdc,Vdc_max,num_max_trq,vcu_max_velocity,Imax_total,Imin_total,Iq_ref_request,max_velocity,min_velocity,motor_temp,igbt_temp,nominal_rpm,I1,I2,I3,I1max,I2max,I3max,ambient_temp,ambient_humidity,cc_time,cc_ts,sp_time,sp_ts
32140,0,-0.02816,0,0.01792,0,0,-0.02816,0.01792,-0.05632,0.04608,-0.0128,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,-0.013599999248981476,-0.006000000052154064,0.0,1.5109397281776182e-05,0.0,-0.0008394109318032861,0.0,0.0,0,-0.10198823362588882,0.10202039033174515,0,0,0.0,0.0,0.0,0,0,152.79550170898438,23.1053409576416,-0.47032544016838074,-0.08011498302221298,0.00421657832339406,-0.10541445761919022,0.5608049035072327,0.6535428762435913,0.5861043930053711,0.0,0.0,4.038181781768799,25.010910034179688,1.5018181800842285,200.0236358642578
34640,0,0.02048,0,-0.04608,0,0,0.02048,-0.04608,0.02048,-0.10752,0.02816,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,-0.007499999832361937,0.0071000000461936,0.0,-2.1291509256116115e-05,0.0,-0.000999601325020194,0.0,-0.0,0,-0.10198823362588882,0.10202039033174515,0,0,0.0,0.0,0.0,0,0,152.47666931152344,23.1094913482666,-0.47032544016838074,0.10541445761919022,-0.2909438908100128,0.10541445761919022,0.5608049035072327,0.6535428762435913,0.5861043930053711,0.0,0.0,4.149090766906738,25.027273178100586,1.618181824684143,200.01454162597656
37140,0,-0.10752,0,0.04608,0,0,-0.10752,0.04608,-0.24064,0.10496,-0.0384,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,-0.011699999682605267,-0.010300000198185444,0.0,4.3043117329943925e-05,0.0,-0.0013929811539128423,0.0,0.0,0,-0.10197215527296066,0.10202039033174515,0,0,0.0,0.0,0.0,0,0,152.58197021484375,23.1057071685791,-0.47025129199028015,-0.021083753556013107,-0.11385226994752884,0.037950754165649414,0.5861283540725708,0.6535428762435913,0.5861043930053711,0.0,0.0,4.094545364379883,25.00181770324707,1.5709091424942017,200.06727600097656
39640,0,-0.02304,0,-0.04608,0,0,-0.02304,-0.04608,-0.064,-0.07168,0.06144,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,-0.00039999998989515007,0.004900000058114529,0.0,-6.547574685100699e-06,0.0,-0.0004454132285900414,0.0,-0.0,0,-0.10200431942939758,0.10202039033174515,0,0,0.0,0.0,0.0,0,0,152.79534912109375,23.1112003326416,-0.4703996181488037,-0.1644398272037506,-0.012649217620491982,-0.004216406028717756,0.5861283540725708,0.6535428762435913,0.5861043930053711,0.0,0.0,4.021818161010742,25.003637313842773,1.6200000047683716,199.983642578125
42140,0,-0.07936,0,-0.02816,0,0,-0.07936,-0.02816,0.00256,0.16384,0.24832,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,0.000699999975040555,0.0058999997563660145,0.0,-3.7347222132666502e-06,0.0,-0.0002110012574121356,0.0,-0.0,0,-0.13620039820671082,0.13620039820671082,0,0,0.0,0.0,0.0,0,0,152.79534912109375,23.1112003326416,-0.6280971169471741,-0.029514839872717857,-0.07167889922857285,-0.13070857524871826,0.5861283540725708,0.6535428762435913,0.5861043930053711,0.0,0.0,4.019999980926514,24.9818172454834,1.5745455026626587,200.0236358642578
44640,0,0.03072,0,-0.07168,0,0,0.03072,-0.07168,0.08704,-0.09728,0.11264,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,-0.0030999998562037945,0.010099999606609344,0.0,2.639479498611763e-05,0.0,0.0008711153641343117,0.0,0.0,0,-0.10197215527296066,0.13620039820671082,0,0,0.0,0.0,0.0,0,0,152.6881866455078,23.1119327545166,-0.47025129199028015,0.22348777949810028,0.12228576838970184,0.05481775850057602,0.5861283540725708,0.6535428762435913,0.5861043930053711,0.0,0.0,4.087272644042969,25.0181827545166,1.5781818628311157,200.0581817626953
47140,0,0.02048,0,0.05888,0,0,0.02048,0.05888,-0.00512,0.02816,-0.14848,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,0.010199999436736107,0.009599999524652958,0.0,2.7538750146050006e-05,0.0,0.0009562066406942904,0.0,0.0,0,-0.10197215527296066,0.13620039820671082,0,0,0.0,0.0,0.0,0,0,152.79519653320312,23.1160831451416,-0.47025129199028015,0.02951725386083126,-0.08855176717042923,0.18975378572940826,0.5861283540725708,0.6535428762435913,0.5861043930053711,0.0,0.0,4.112727165222168,25.00181770324707,1.5309090614318848,199.9418182373047
49640,0,-0.04608,0,-0.04096,0,0,-0.04608,-0.04096,-0.0384,0.02048,0.13824,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,-0.018400000408291817,0.006899999920278788,0.0,-6.399436642823275e-06,0.0,-0.00030915153911337256,0.0,-0.0,0,-0.10198823362588882,0.13620039820671082,0,0,0.0,0.0,0.0,0,0,152.79550170898438,23.1136417388916,-0.47032544016838074,-0.0463823601603508,0.11384761333465576,0.054815515875816345,0.5861283540725708,0.6535428762435913,0.5861043930053711,0.0,0.0,4.074545383453369,24.996362686157227,1.5218181610107422,199.99818420410156
52140,0,-0.06912,0,-0.15872,0,0,-0.06912,-0.15872,-0.0128,-0.07168,0.39936,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,-0.009499999694526196,0.020499998703598976,0.0,5.657907604472712e-05,0.0,0.0009199850610457361,0.0,0.0,0,-0.10198823362588882,0.13620039820671082,0,0,0.0,0.0,0.0,0,0,152.9037628173828,23.1157169342041,-0.47032544016838074,-0.139147087931633,-0.22347864508628845,-0.012649734504520893,0.5861283540725708,0.6535428762435913,0.5861043930053711,0.0,0.0,4.181818008422852,24.996362686157227,1.510909080505371,200.0272674560547
54640,0,-0.02816,0,0.05376,0,0,-0.02816,0.05376,0.01024,0.16384,-0.00512,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,0.0052999998442828655,0.02070000022649765,0.0,3.061014285776764e-05,0.0,0.0004929169663228095,0.0,0.0,0,-0.10200431942939758,0.13621509075164795,0,0,0.0,0.0,0.0,0,0,152.79534912109375,23.1174259185791,-0.4703996181488037,0.07167889922857285,-0.07167889922857285,-0.08854452520608902,0.5861283540725708,0.6535428762435913,0.5861043930053711,0.0,0.0,4.0581817626953125,24.9818172454834,1.5436363220214844,199.91818237304688
57140,0,-0.02048,0,-0.09216,0,0,-0.02048,-0.09216,-0.03072,-0.1152,0.1536,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,-0.0024999999441206455,0.00019999999494757503,0.0,-1.7975968091832328e-07,0.0,-0.0002995994873344898,0.0,-0.0,0,-0.10198823362588882,0.13621509075164795,0,0,0.0,0.0,0.0,0,0,152.79550170898438,23.1198673248291,-0.47032544016838074,-0.08011498302221298,0.13071392476558685,-0.0463823601603508,0.5861283540725708,0.6535428762435913,0.5861043930053711,0.0,0.0,4.105454444885254,24.959999084472656,1.5745455026626587,200.0072784423828
