CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,,,,#SETTINGS,
54450,0,0.09216,0,0.08704,0,0,0.09216,0.08704,0.05376,-0.05632,0.9984,,,,#SETTINGS,
56949,0,0.0128,0,0.04352,0,0,0.0128,0.04352,0.02048,0.05376,0.9984,,,,motor_type,INDUCTION
59449,0,-0.03072,0,-0.10752,0,0,-0.03072,-0.10752,-0.04864,-0.13056,0.9984,,,,sensor,inc_encoder
61949,0,0.06144,0,-0.05376,0,0,0.06144,-0.05376,0.1536,-0.0896,0.9984,,,,motor_connection,DELTA
64449,0,-0.00256,0,-0.02048,0,0,-0.00256,-0.02048,-0.15616,-0.18176,0.9984,,,,sampling_timing,SYNC
1413,0,0.11776,0,-0.0768,0,0,0.11776,-0.0768,0.21248,-0.20736,0.9984,,,,mode,FOC
3913,0,-0.04096,0,0.00256,0,0,-0.04096,0.00256,0.00256,0.11264,0.9984,,,,sensored_control,ENABLED
6413,0,0.07936,0,0.01024,0,0,0.07936,0.01024,0.13824,-0.05632,0.9984,,,,Fs_trq,40
8913,0,-0.03072,0,0.00512,0,0,-0.03072,0.00512,0.02816,0.11264,0.9984,,,,Fs_speed,5
11413,0,0.03328,0,-0.0384,0,0,0.03328,-0.0384,0.12032,-0.02304,0.9984,,,,Fswitching,20
13913,0,-0.09472,0,-0.06912,0,0,-0.09472,-0.06912,-0.14848,-0.00512,0.9984,,,,zero_sequence,THIRD_HARMONIC_INJECTION
16413,0,0,0,0.05888,0,0,0,0.05888,0.09472,0.1792,0.9984,,,,Imax_ph,6.0
18913,0,-0.06656,0,0.0256,0,0,-0.06656,0.0256,-0.192,0.02048,0.9984,,,,Inom_ph,6.0
21413,0,-0.02816,0,-0.0384,0,0,-0.02816,-0.0384,-0.04864,-0.03072,0.9984,,,,I_o_ph,6.0
23913,0,0.064,0,-0.02304,0,0,0.064,-0.02304,0.11264,-0.0896,0.9984,,,,overload_interval,1.2400000095367432
26413,0,0.1664,0,0.00512,0,0,0.1664,0.00512,0.3072,-0.12288,0.9984,,,,overload_limiter,0.699999988079071
28913,0,-0.04096,0,0.0256,0,0,-0.04096,0.0256,-0.0896,0.05376,0.9984,,,,t_drop,1.7999999523162842
31413,0,0.04352,0,0.00768,0,0,0.04352,0.00768,-0.00512,-0.10752,0.9984,,,,motor_temp_derate_thres,115.0
33913,0,-0.11264,0,0.02048,0,0,-0.11264,0.02048,-0.29184,0.02816,0.9984,,,,motor_temp_max_thres,140.0
36413,0,0.07168,0,0.02304,0,0,0.07168,0.02304,-0.00512,-0.15616,0.9984,,,,igbt_temp_derate_thres,55.0
38913,0,0.01536,0,-0.08448,0,0,0.01536,-0.08448,0.04608,-0.12288,0.9984,,,,igbt_temp_max_thres,80.0
41413,0,0.02816,0,0.05376,0,0,0.02816,0.05376,-0.03072,-0.02304,0.9984,,,,v_base,325.2691345214844
43913,0,-0.04352,0,0.00512,0,0,-0.04352,0.00512,-0.09728,0.02048,0.9984,,,,I_base,5.0911688804626465
46413,0,0.0128,0,-0.13056,0,0,0.0128,-0.13056,-0.03072,-0.25856,0.9984,,,,no_load_rpm,1500
48913,0,0.04096,0,0.03328,0,0,0.04096,0.03328,0.14592,0.08704,0.9984,,,,nom_rpm,1500
51413,0,-0.12032,0,-0.00512,0,0,-0.12032,-0.00512,-0.20736,0.09472,0.9984,,,,max_rpm,2000
53913,0,-0.02304,0,0.0512,0,0,-0.02304,0.0512,-0.0128,0.12032,0.9984,,,,min_rpm,-2000
56413,0,-0.14336,0,0.08192,0,0,-0.14336,0.08192,-0.14848,0.34816,0.9984,,,,Rs,4.300000190734863
58913,0,0.0512,0,-0.01024,0,0,0.0512,-0.01024,0.14592,-0.00512,0.9984,,,,Rr,2.299999952316284
61413,0,-0.01792,0,-0.01024,0,0,-0.01792,-0.01024,0.08704,0.12032,0.9984,,,,Lls,0.020800000056624413
63913,0,0.05888,0,-0.00512,0,0,0.05888,-0.00512,0.05376,-0.10752,0.9984,,,,Llr,0.020800000056624413
877,0,-0.1152,0,0.01792,0,0,-0.1152,0.01792,-0.22528,0.10496,0.9984,,,,Lm,0.3353999853134155
3377,0,-0.06656,0,-0.0128,0,0,-0.06656,-0.0128,-0.19968,-0.04864,0.9984,,,,Lsig,0.041600000113248825
5877,0,0.05376,0,-0.02816,0,0,0.05376,-0.02816,-0.00512,-0.192,0.9984,,,,psi_nom,0.8899999856948853
8377,0,0.11008,0,-0.00768,0,0,0.11008,-0.00768,0.10496,-0.192,0.9984,,,,psi_min,0.17800000309944153
10877,0,0,0,-0.00768,0,0,0,-0.00768,0.02816,0.02048,0.9984,,,,J,0.10000000149011612
13377,0,-0.02048,0,-0.04096,0,0,-0.02048,-0.04096,-0.04864,-0.05632,0.9984,,,,b,0.0
15877,0,0.0384,0,-0.0512,0,0,0.0384,-0.0512,0.1536,-0.02304,0.9984,,,,np,2.0
18377,0,-0.03328,0,-0.02048,0,0,-0.03328,-0.02048,-0.13056,-0.08192,0.9984,,,,Ld,0.0005000000237487257
20877,0,-0.03584,0,-0.04864,0,0,-0.03584,-0.04864,0.08704,0.10496,0.9984,,,,Lq,0.0005000000237487257
23377,0,0.064,0,0.01792,0,0,0.064,0.01792,0.05376,-0.0896,0.9984,,,,max_trq_num,21000
25877,0,0.0384,0,-0.0768,0,0,0.0384,-0.0768,0.16384,-0.05632,0.9984,,,,cc_trise,0.0020000000949949026
28377,0,0.05888,0,-0.03328,0,0,0.05888,-0.03328,0.14592,-0.05632,0.9984,,,,spdc_trise,0.10000000149011612
30877,0,0.03328,0,0.03584,0,0,0.03328,0.03584,0.08704,0.05376,0.9984,,,,mcm_trise,0.05999999865889549
33377,0,0.08192,0,0.06144,0,0,0.08192,0.06144,0.1536,0.02816,0.9984,,,,scvm_trise,0.05999999865889549
35877,0,0.03584,0,-0.0768,0,0,0.03584,-0.0768,-0.02304,-0.23296,0.9984,,,,fw_trise,0.019999999552965164
38377,0,0.01792,0,0,0,0,0.01792,0,0.05376,0.00256,0.9984,,,,current_ramp_time,100.0
40877,0,0.06656,0,0.0256,0,0,0.06656,0.0256,0.01024,-0.12288,0.9984,,,,velocity_ramp_time,100.0
43377,0,-0.04864,0,0.09472,0,0,-0.04864,0.09472,-0.1408,0.13056,0.9984,,,,spd_ref_offset,50.0
45877,0,0.06144,0,-0.03584,0,0,0.06144,-0.03584,0.2048,-0.00512,0.9984,,,,low_rpm_thres,3000.0
48377,0,-0.02304,0,0.08192,0,0,-0.02304,0.08192,-0.17408,0.01024,0.9984,,,,min_freq,0.0
50877,0,0.00768,0,-0.00512,0,0,0.00768,-0.00512,0.06144,0.03584,0.9984,,,,max_power,45.0
53377,0,0.0128,0,0.09984,0,0,0.0128,0.09984,-0.00512,0.11264,0.9984,,,,min_power,-45.0
55877,0,-0.05632,0,-0.03584,0,0,-0.05632,-0.03584,-0.1408,-0.04864,0.9984,,,,voltage_trise,0.009999999776482582
58377,0,0.08704,0,0.12288,0,0,0.08704,0.12288,0.3072,0.26368,0.9984,,,,voltage_tfall,0.009999999776482582
60877,0,0.0256,0,0.064,0,0,0.0256,0.064,0.06144,0.08704,0.9984,,,,ocd_thres,25.0
63377,0,0.08448,0,-0.00512,0,0,0.08448,-0.00512,0.10496,-0.12288,0.9984,,,,overvoltage_thres,100.0
341,0,0.02304,0,-0.01024,0,0,0.02304,-0.01024,-0.02304,-0.09728,0.9984,,,,undervoltage_thres,-5.0
2841,0,0,0,0.02304,0,0,0,0.02304,0.08704,0.12032,0.9984,,,,ma1max,1.150081753730774
5341,0,0.00768,0,0.08192,0,0,0.00768,0.08192,0.03584,0.13824,0.9984,,,,ma3,0.19168028235435486
7841,0,0.04352,0,0.13056,0,0,0.04352,0.13056,-0.05632,0.02816,0.9984,,,,mcu_max_temp,120.0
10341,0,0.01792,0,0.0384,0,0,0.01792,0.0384,0.03584,0.04608,0.9984,,,,wh1_timeout_thres,20000
12841,0,0.064,0,-0.07168,0,0,0.064,-0.07168,0.13824,-0.1408,0.9984,,,,warning_interval,5000
15341,0,-0.01792,0,0.03584,0,0,-0.01792,0.03584,0.02048,0.12032,0.9984,,,,error_reset_interval,5000
17841,0,0.064,0,0.03072,0,0,0.064,0.03072,0.06912,-0.05632,0.9984,,,,startup_time,1000
20341,0,-0.03072,0,0.00512,0,0,-0.03072,0.00512,-0.03072,0.05376,0.9984,,,,mcu_reset_interval,10000
22841,0,-0.02816,0,-0.09472,0,0,-0.02816,-0.09472,-0.15616,-0.22528,0.9984,,,,data_logger_ts_div,100
25341,0,0.11008,0,-0.02304,0,0,0.11008,-0.02304,0.2816,-0.0384,0.9984,,,,params_init_key,1122867
27841,0,0.0512,0,-0.09728,0,0,0.0512,-0.09728,0.17152,-0.10752,0.9984,,,,
30341,0,0.01024,0,-0.01536,0,0,0.01024,-0.01536,0.14592,0.09472,0.9984,,,,#MONITOR,
32841,0,-0.03328,0,-0.0512,0,0,-0.03328,-0.0512,-0.04864,-0.0384,0.9984,,,,num_max_trq,num_min_trq,max_velocity,min_velocity,velocity_request,num_trq_req,control_mode_command,vcu_command,critical_hw_status,aux_hw_status,last_error,sys_status,handler_status,latched_error,actual_state,control_mode_actual,limiter_flags,Id_ref,Iq_ref,Id_filt,Iq_filt,trq_ref,trq_actual,flux_ref,flux_actual,pwr_ref,pwr_actual,motor_rpm,Vdc,Vdc_max,num_max_trq,vcu_max_velocity,Imax_total,Imin_total,Iq_ref_request,max_velocity,min_velocity,motor_temp,igbt_temp,nominal_rpm,I1,I2,I3,I1max,I2max,I3max,ambient_temp,ambient_humidity,cc_time,cc_ts,sp_time,sp_ts
35341,0,-0.00768,0,0.0256,0,0,-0.00768,0.0256,-0.0384,0.02048,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,0.01899999938905239,0.009499999694526196,0.0,1.996156970562879e-05,0.0,0.0007004059734754264,0.0,0.0,0,-0.06826218217611313,0.06831450015306473,0,0,0.0,0.0,0.0,0,0,153.689697265625,23.338525772094727,-0.3147955536842346,-0.04633120819926262,0.06317891925573349,-0.10529819875955582,0.585457980632782,0.5601864457130432,0.5433165431022644,0.0,0.0,4.150908946990967,25.047273635864258,1.552727222442627,199.59091186523438
37841,0,-0.03584,0,-0.06144,0,0,-0.03584,-0.06144,0.00256,0.00256,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,0.0018999999156221747,0.0024999999441206455,0.0,-4.7481833576057397e-07,0.0,-6.330911128316075e-05,0.0,-0.0,0,-0.06829705834388733,0.06831450015306473,0,0,0.0,0.0,0.0,0,0,153.45980834960938,23.3419132232666,-0.3149563670158386,-0.15582861006259918,-0.12213592976331711,0.13898226618766785,0.585457980632782,0.5770105719566345,0.5433165431022644,0.0,0.0,4.074545383453369,25.003637313842773,1.5181818008422852,199.97817993164062
40341,0,-0.05888,0,-0.05376,0,0,-0.05888,-0.05376,-0.02304,0.04608,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,-0.0009999999310821295,0.004299999680370092,0.0,-2.7646236048894934e-05,0.0,-0.002143119229003787,0.0,-0.0,0,-0.06829705834388733,0.06831450015306473,0,0,0.0,0.0,0.0,0,0,153.57412719726562,23.344018936157227,-0.3149563670158386,0.11371276527643204,-0.029481086879968643,0.08844326436519623,0.585457980632782,0.5770105719566345,0.5433165431022644,0.0,0.0,4.083636283874512,25.020000457763672,1.559999942779541,199.9727325439453
42841,0,0.03584,0,-0.07168,0,0,0.03584,-0.07168,0.09472,-0.10752,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,0.01209999993443489,0.0016999999061226845,0.0,-2.360969943993041e-07,0.0,-4.629353134077974e-05,0.0,-0.0,0,-0.06829705834388733,0.06831450015306473,0,0,0.0,0.0,0.0,0,0,153.68954467773438,23.344018936157227,-0.3149563670158386,-0.0968664288520813,-0.06317375600337982,0.029481086879968643,0.585457980632782,0.5770105719566345,0.5601406693458557,0.0,0.0,4.096363544464111,25.0181827545166,1.5654546022415161,200.0345458984375
45341,0,0.00512,0,0.00512,0,0,0.00512,0.00512,-0.0896,-0.09728,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,0.010199999436736107,-0.0052999998442828655,0.0,-1.2563404197862837e-05,0.0,0.0007901512435637414,0.0,-0.0,0,-0.06829705834388733,0.06831450015306473,0,0,0.0,0.0,0.0,0,0,153.45980834960938,23.344018936157227,-0.3149563670158386,-0.06317375600337982,-0.11371276527643204,0.12213592976331711,0.593833327293396,0.5770105719566345,0.5601406693458557,0.0,0.0,4.043636322021484,24.987272262573242,1.5909091234207153,199.94363403320312
47841,0,0.05632,0,0.07424,0,0,0.05632,0.07424,0.13824,0.10496,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,0.014599999412894249,-0.0064999996684491634,0.0,-2.533789665903896e-05,0.0,0.0012993793934583664,0.0,-0.0,0,-0.06829705834388733,0.06831450015306473,0,0,0.0,0.0,0.0,0,0,153.57412719726562,23.346094131469727,-0.3149563670158386,-0.05475059151649475,-0.06317375600337982,-0.06317375600337982,0.593833327293396,0.585434079170227,0.5601406693458557,0.0,0.0,4.159999847412109,25.083637237548828,1.5909091234207153,200.0509033203125
50341,0,-0.00768,0,0.0256,0,0,-0.00768,0.0256,-0.0384,0.02048,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,0.015799999237060547,0.011099999770522118,0.0,-3.771333649638109e-05,0.0,-0.001132532604970038,0.0,-0.0,0,-0.06829705834388733,0.06831450015306473,0,0,0.0,0.0,0.0,0,0,153.68954467773438,23.344018936157227,-0.3149563670158386,-0.04632742330431938,0.1810981035232544,0.03790425509214401,0.593833327293396,0.585434079170227,0.5601406693458557,0.0,0.0,4.089090824127197,25.005455017089844,1.54909086227417,200.01454162597656
52841,0,-0.04352,0,-0.01792,0,0,-0.04352,-0.01792,-0.07168,0.01024,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,-0.011299999430775642,-0.01599999889731407,0.0,-8.330540367751382e-06,0.0,0.00017355293675791472,0.0,-0.0,0,-0.06826218217611313,0.06831450015306473,0,0,0.0,0.0,0.0,0,0,153.573974609375,23.342676162719727,-0.3147955536842346,0.021059639751911163,0.0294834952801466,-0.04633120819926262,0.593833327293396,0.585434079170227,0.5601406693458557,0.0,0.0,4.103636264801025,24.976364135742188,1.545454502105713,199.98545837402344
55341,0,-0.0128,0,-0.08192,0,0,-0.0128,-0.08192,-0.02304,-0.1152,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,0.008700000122189522,-0.003000000026077032,0.0,-2.884020204874105e-06,0.0,0.00032044667750597,0.0,-0.0,0,-0.06829705834388733,0.06831450015306473,0,0,0.0,0.0,0.0,0,0,153.57412719726562,23.346094131469727,-0.3149563670158386,-0.07159692794084549,-0.05475059151649475,0.07159692794084549,0.593833327293396,0.585434079170227,0.5601406693458557,0.0,0.0,4.029090881347656,24.979999542236328,1.5181818008422852,199.97817993164062
57841,0,-0.06656,0,-0.04096,0,0,-0.06656,-0.04096,-0.23296,-0.12288,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,0.006199999712407589,-0.00039999998989515007,0.0,-1.6947461745075998e-06,0.0,0.0014122885186225176,0.0,-0.0,0,-0.06829705834388733,0.06831450015306473,0,0,0.0,0.0,0.0,0,0,153.689697265625,23.347803115844727,-0.3149563670158386,-0.03790270537137985,-0.02105705998837948,-0.08001682907342911,0.593833327293396,0.585434079170227,0.5601406693458557,0.0,0.0,4.030909061431885,24.989089965820312,1.5181818008422852,199.92727661132812
