CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,,,,#SETTINGS,
45019,0,0.03072,0,-0.09728,0,0,0.03072,-0.09728,0.02048,-0.20736,0,,,,#SETTINGS,
46019,0,-0.03584,0,-0.0896,0,0,-0.03584,-0.0896,-0.0896,-0.13312,0.9984,,,,motor_type,INDUCTION
47019,0,0.0384,0,-0.02048,0,0,0.0384,-0.02048,0.09472,-0.0384,0.9984,,,,sensor,inc_encoder
48019,0,-0.06144,0,-0.04352,0,0,-0.06144,-0.04352,-0.17408,-0.08192,0.9984,,,,motor_connection,DELTA
49019,0,0.03072,0,-0.03328,0,0,0.03072,-0.03328,-0.00512,-0.13312,0.9984,,,,sampling_timing,SYNC
50019,0,0,0,-0.09984,0,0,0,-0.09984,-0.0128,-0.1664,0.9984,,,,mode,FOC
51019,0,-0.07424,0,0.1152,0,0,-0.07424,0.1152,-0.1664,0.19712,0.9984,,,,sensored_control,ENABLED
52019,0,-0.01536,0,0.03328,0,0,-0.01536,0.03328,-0.08192,0.00256,0.9984,,,,Fs_trq,100
53019,0,-0.13056,0,-0.064,0,0,-0.13056,-0.064,-0.28416,-0.0384,0.9984,,,,Fs_speed,5
54019,0,-0.064,0,-0.06912,0,0,-0.064,-0.06912,-0.09728,-0.0384,0.9984,,,,Fswitching,50
55019,0,-0.12032,0,0.0256,0,0,-0.12032,0.0256,-0.26624,0.08704,0.9984,,,,zero_sequence,THIRD_HARMONIC_INJECTION
56019,0,0.07424,0,-0.02816,0,0,0.07424,-0.02816,-0.0128,-0.25088,0.9984,,,,Imax_ph,6.0
57019,0,0.00768,0,-0.09216,0,0,0.00768,-0.09216,-0.0128,-0.17408,0.9984,,,,Inom_ph,6.0
58019,0,-0.04096,0,-0.03584,0,0,-0.04096,-0.03584,-0.00512,0.04608,0.9984,,,,I_o_ph,6.0
59019,0,0.0128,0,-0.07168,0,0,0.0128,-0.07168,0.00256,-0.1408,0.9984,,,,overload_interval,1.2400000095367432
60019,0,-0.06912,0,-0.04608,0,0,-0.06912,-0.04608,-0.12288,-0.0128,0.9984,,,,overload_limiter,0.699999988079071
61019,0,-0.15104,0,-0.01024,0,0,-0.15104,-0.01024,-0.23296,0.14592,0.9984,,,,t_drop,1.7999999523162842
62019,0,-0.064,0,0.01536,0,0,-0.064,0.01536,-0.1152,0.06912,0.9984,,,,motor_temp_derate_thres,115.0
63019,0,0.03584,0,0.07424,0,0,0.03584,0.07424,0.06912,0.08704,0.9984,,,,motor_temp_max_thres,140.0
64019,0,0.01536,0,0.06144,0,0,0.01536,0.06144,0.00256,0.05376,0.9984,,,,igbt_temp_derate_thres,55.0
65019,0,-0.07168,0,0.01792,0,0,-0.07168,0.01792,-0.08192,0.13056,0.9984,,,,igbt_temp_max_thres,80.0
483,0,0.0128,0,0.00512,0,0,0.0128,0.00512,0.09472,0.06912,0.9984,,,,v_base,325.2691345214844
1483,0,0.0256,0,0.07936,0,0,0.0256,0.07936,0.07936,0.13056,0.9984,,,,I_base,5.0911688804626465
2483,0,0.04096,0,-0.0128,0,0,0.04096,-0.0128,0.10496,-0.02304,0.9984,,,,no_load_rpm,1500
3483,0,-0.0768,0,-0.0384,0,0,-0.0768,-0.0384,-0.1664,-0.02304,0.9984,,,,nom_rpm,1500
4483,0,0.06912,0,0.04608,0,0,0.06912,0.04608,0.06144,-0.04864,0.9984,,,,max_rpm,2000
5483,0,0.02816,0,0.03328,0,0,0.02816,0.03328,-0.064,-0.0896,0.9984,,,,min_rpm,-2000
6483,0,-0.03072,0,-0.0128,0,0,-0.03072,-0.0128,-0.0384,0.02048,0.9984,,,,Rs,4.300000190734863
7483,0,0.0128,0,-0.0768,0,0,0.0128,-0.0768,-0.10752,-0.25856,0.9984,,,,Rr,2.299999952316284
8483,0,0.09216,0,0.0256,0,0,0.09216,0.0256,0.10496,-0.09728,0.9984,,,,Lls,0.020800000056624413
9483,0,-0.00512,0,0.04864,0,0,-0.00512,0.04864,0.09472,0.1792,0.9984,,,,Llr,0.020800000056624413
10483,0,-0.06912,0,-0.03584,0,0,-0.06912,-0.03584,-0.17408,-0.04864,0.9984,,,,Lm,0.3353999853134155
11483,0,-0.01024,0,-0.04608,0,0,-0.01024,-0.04608,0.10496,0.06144,0.9984,,,,Lsig,0.041600000113248825
12483,0,0.03584,0,-0.03328,0,0,0.03584,-0.03328,-0.08192,-0.22528,0.9984,,,,psi_nom,0.8899999856948853
13483,0,0.04352,0,0.03584,0,0,0.04352,0.03584,0.02816,-0.03072,0.9984,,,,psi_min,0.17800000309944153
14483,0,-0.04096,0,0.04352,0,0,-0.04096,0.04352,-0.064,0.10496,0.9984,,,,J,0.10000000149011612
15483,0,0.12032,0,0.10752,0,0,0.12032,0.10752,0.1536,0.00256,0.9984,,,,b,0.0
16483,0,0.03072,0,0.0512,0,0,0.03072,0.0512,0.00256,0.00256,0.9984,,,,np,2.0
17483,0,0.00512,0,-0.1024,0,0,0.00512,-0.1024,0.02816,-0.1408,0.9984,,,,Ld,0.0005000000237487257
18483,0,0.06144,0,0.02048,0,0,0.06144,0.02048,0.1536,0.02816,0.9984,,,,Lq,0.0005000000237487257
19483,0,0.03072,0,0.02304,0,0,0.03072,0.02304,0.06912,0.02816,0.9984,,,,max_trq_num,21000
20483,0,0.00768,0,-0.04864,0,0,0.00768,-0.04864,0.06912,-0.02304,0.9984,,,,cc_trise,0.0020000000949949026
21483,0,0.03072,0,0.14848,0,0,0.03072,0.14848,0.03584,0.1792,0.9984,,,,spdc_trise,0.10000000149011612
22483,0,-0.01792,0,-0.06912,0,0,-0.01792,-0.06912,0.02048,-0.0384,0.9984,,,,mcm_trise,0.05999999865889549
23483,0,-0.03072,0,-0.01792,0,0,-0.03072,-0.01792,-0.05632,-0.00512,0.9984,,,,scvm_trise,0.05999999865889549
24483,0,-0.0512,0,-0.02816,0,0,-0.0512,-0.02816,-0.17408,-0.0896,0.9984,,,,fw_trise,0.019999999552965164
25483,0,0,0,0.06912,0,0,0,0.06912,-0.13312,-0.03072,0.9984,,,,current_ramp_time,100.0
26483,0,0.07424,0,0.00512,0,0,0.07424,0.00512,0.06912,-0.1152,0.9984,,,,velocity_ramp_time,100.0
27483,0,0.01024,0,0.01792,0,0,0.01024,0.01792,0.06144,0.06144,0.9984,,,,spd_ref_offset,50.0
28483,0,-0.05632,0,-0.11264,0,0,-0.05632,-0.11264,-0.13312,-0.15616,0.9984,,,,low_rpm_thres,3000.0
29483,0,0.0512,0,0.06144,0,0,0.0512,0.06144,0.13824,0.09472,0.9984,,,,min_freq,0.0
30483,0,0.00512,0,0.0768,0,0,0.00512,0.0768,0.04608,0.14592,0.9984,,,,max_power,45.0
31483,0,-0.03584,0,-0.01536,0,0,-0.03584,-0.01536,0.06912,0.13824,0.9984,,,,min_power,-45.0
32483,0,-0.03328,0,0.13056,0,0,-0.03328,0.13056,-0.05632,0.22272,0.9984,,,,voltage_trise,0.009999999776482582
33483,0,0.01024,0,-0.12288,0,0,0.01024,-0.12288,0.07936,-0.13312,0.9984,,,,voltage_tfall,0.009999999776482582
34483,0,-0.13056,0,-0.04608,0,0,-0.13056,-0.04608,-0.29184,-0.02304,0.9984,,,,ocd_thres,25.0
35483,0,-0.01024,0,0.09984,0,0,-0.01024,0.09984,0.02816,0.2048,0.9984,,,,overvoltage_thres,100.0
36483,0,0.13568,0,-0.01024,0,0,0.13568,-0.01024,0.13824,-0.23296,0.9984,,,,undervoltage_thres,-5.0
37483,0,0.02304,0,0.03072,0,0,0.02304,0.03072,0.02048,0.00256,0.9984,,,,ma1max,1.150081753730774
38483,0,-0.02304,0,0.05888,0,0,-0.02304,0.05888,0.02816,0.17152,0.9984,,,,ma3,0.19168028235435486
39483,0,0.00256,0,0.03584,0,0,0.00256,0.03584,0.08704,0.13056,0.9984,,,,mcu_max_temp,120.0
40483,0,0.00512,0,0.00512,0,0,0.00512,0.00512,-0.05632,-0.064,0.9984,,,,wh1_timeout_thres,20000
41483,0,-0.07936,0,-0.01792,0,0,-0.07936,-0.01792,-0.17408,0.00256,0.9984,,,,warning_interval,5000
42483,0,-0.01536,0,0.06656,0,0,-0.01536,0.06656,0.07936,0.21248,0.9984,,,,error_reset_interval,5000
43483,0,0.07424,0,-0.01536,0,0,0.07424,-0.01536,0.21248,-0.00512,0.9984,,,,startup_time,1000
44483,0,0.04864,0,-0.0128,0,0,0.04864,-0.0128,0.11264,-0.03072,0.9984,,,,mcu_reset_interval,10000
45483,0,-0.0128,0,0.03072,0,0,-0.0128,0.03072,-0.04864,0.02816,0.9984,,,,data_logger_ts_div,100
46483,0,0.1536,0,-0.02304,0,0,0.1536,-0.02304,0.3072,-0.13312,0.9984,,,,params_init_key,1122867
47483,0,-0.03328,0,0.0896,0,0,-0.03328,0.0896,-0.08192,0.13824,0.9984,,,,
48483,0,0.08448,0,0.03584,0,0,0.08448,0.03584,0.23808,0.06912,0.9984,,,,#MONITOR,
49483,0,0.01536,0,0.06656,0,0,0.01536,0.06656,0.06144,0.12032,0.9984,,,,num_max_trq,num_min_trq,max_velocity,min_velocity,velocity_request,num_trq_req,control_mode_command,vcu_command,critical_hw_status,aux_hw_status,last_error,sys_status,handler_status,latched_error,actual_state,control_mode_actual,limiter_flags,Id_ref,Iq_ref,Id_filt,Iq_filt,trq_ref,trq_actual,flux_ref,flux_actual,pwr_ref,pwr_actual,motor_rpm,Vdc,Vdc_max,num_max_trq,vcu_max_velocity,Imax_total,Imin_total,Iq_ref_request,max_velocity,min_velocity,motor_temp,igbt_temp,nominal_rpm,I1,I2,I3,I1max,I2max,I3max,ambient_temp,ambient_humidity,cc_time,cc_ts,sp_time,sp_ts
50483,0,0.0384,0,-0.07168,0,0,0.0384,-0.07168,0.02048,-0.192,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,-0.009099999442696571,-0.010099999606609344,0.0,1.2680335203185678e-05,0.0,-0.0004184929421171546,0.0,0.0,0,-0.06780822575092316,0.06784317642450333,0,0,0.0,0.0,0.0,0,0,153.92379760742188,23.5692081451416,-0.31270208954811096,0.02108202874660492,-0.20660388469696045,0.08011171221733093,0.5692147612571716,0.5354835391044617,0.5607590675354004,0.0,0.0,5.172727108001709,10.018181800842285,1.607272744178772,201.94363403320312
51483,0,-0.04352,0,-0.04608,0,0,-0.04352,-0.04608,-0.03072,0.01024,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,-0.012199999764561653,-0.003999999724328518,0.0,7.298826858459506e-07,0.0,-6.0823560488643125e-05,0.0,0.0,0,-0.06780822575092316,0.06784317642450333,0,0,0.0,0.0,0.0,0,0,153.80636596679688,23.5692081451416,-0.31270208954811096,-0.09697733074426651,0.05481327697634697,-0.029514839872717857,0.5692147612571716,0.5354835391044617,0.5607590675354004,0.0,0.0,4.09818172454834,8.101818084716797,1.5690909624099731,199.96908569335938
52483,0,0.03328,0,-0.01024,0,0,0.03328,-0.01024,0.08704,-0.0128,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,-0.013799999840557575,-0.005699999630451202,0.0,-2.8402239422575803e-06,0.0,0.0001660949783399701,0.0,-0.0,0,-0.06782570481300354,0.06784317642450333,0,0,0.0,0.0,0.0,0,0,153.80636596679688,23.5709171295166,-0.3127827048301697,-0.29092010855674744,0.12227077037096024,0.10540583729743958,0.5692147612571716,0.5523491501808167,0.5607590675354004,0.0,0.0,4.141818046569824,9.976363182067871,1.6909091472625732,199.8036346435547
53483,0,0.01536,0,-0.04864,0,0,0.01536,-0.04864,-0.0128,-0.13312,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,0.0139999995008111,0.003999999724328518,0.0,8.90624778548954e-06,0.0,0.0007421873742714524,0.0,0.0,0,-0.06780822575092316,0.06784317642450333,0,0,0.0,0.0,0.0,0,0,153.92379760742188,23.5692081451416,-0.31270208954811096,0.07167889922857285,-0.316230446100235,-0.02108202874660492,0.5692147612571716,0.5523491501808167,0.5607590675354004,0.0,0.0,4.078181743621826,10.0,1.6236363649368286,200.01454162597656
54483,0,0.04864,0,-0.0128,0,0,0.04864,-0.0128,0.23808,0.09472,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,-0.002199999988079071,-0.008299999870359898,0.0,9.925647646014113e-06,0.0,-0.00039862041012384,0.0,0.0,0,-0.06782570481300354,0.06784317642450333,0,0,0.0,0.0,0.0,0,0,153.80636596679688,23.5709171295166,-0.3127827048301697,0.029513632878661156,0.029513632878661156,0.021081166341900826,0.5692147612571716,0.5523491501808167,0.5692147612571716,0.0,0.0,4.081818103790283,10.001818656921387,1.6327272653579712,199.94000244140625
55483,0,0.01024,0,-0.05376,0,0,0.01024,-0.05376,0.10496,-0.00512,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,0.0009999999310821295,0.01119999960064888,0.0,-3.109700992354192e-05,0.0,-0.0009255062905140221,0.0,-0.0,0,-0.06782570481300354,0.06784317642450333,0,0,0.0,0.0,0.0,0,0,153.92396545410156,23.5709171295166,-0.3127827048301697,0.10540583729743958,-0.1391357034444809,0.037946101278066635,0.5692147612571716,0.5523491501808167,0.5692147612571716,0.0,0.0,4.090909004211426,10.012727737426758,1.6436363458633423,199.92727661132812
56483,0,-0.03328,0,0.00512,0,0,-0.03328,0.00512,0.02816,0.12032,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,MOTOR_OVERTEMP,MOTOR_OVERTEMP,WARNING,WARNING_EXISTING,INVERTER_DISABLE,FAULT_MODE,MotorTemp,0.0,0.0,-0.015599999576807022,0.015099999494850636,0.0,-3.0023295039427467e-05,0.0,-0.0006627659313380718,0.0,-0.0,0,-0.06784317642450333,0.06784317642450333,0,0,0.0,0.0,0.0,0,0,153.68954467773438,23.574731826782227,-0.3128632605075836,-0.2150191068649292,-0.04637667164206505,0.05480879172682762,0.5692147612571716,0.5523491501808167,0.5692147612571716,0.0,0.0,4.078181743621826,10.001818656921387,1.610909104347229,201.89999389648438
57483,0,-0.12544,0,-0.07424,0,0,-0.12544,-0.07424,-0.23296,-0.02304,0.9984,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58483,0,0.01536,0,0.00256,0,0,0.01536,0.00256,-0.03072,-0.07168,0.9984,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59483,0,-0.04096,0,-0.05632,0,0,-0.04096,-0.05632,-0.0896,-0.07168,0.9984,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60483,0,0.00512,0,0.00512,0,0,0.00512,0.00512,0.05376,0.04608,0.9984,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61483,0,0.04608,0,0.03072,0,0,0.04608,0.03072,0.06912,-0.00512,0.9984,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62483,0,-0.01536,0,-0.09216,0,0,-0.01536,-0.09216,-0.15616,-0.25856,0.9984,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
