CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,,,,#SETTINGS,
17310,0,-0.09472,0,-0.09216,0,0,-0.09472,-0.09216,-0.12288,-0.0128,0,,,,#SETTINGS,
18309,0,-0.11264,0,-0.09216,0,0,-0.11264,-0.09216,-0.18176,-0.03072,0.9984,,,,motor_type,INDUCTION
19309,0,0,0,0.00256,0,0,0,0.00256,-0.1152,-0.1152,0.9984,,,,sensor,inc_encoder
20309,0,-0.00256,0,0.02304,0,0,-0.00256,0.02304,-0.02304,0.02048,0.9984,,,,motor_connection,DELTA
21309,0,-0.05888,0,0.0256,0,0,-0.05888,0.0256,-0.10752,0.08704,0.9984,,,,sampling_timing,SYNC
22309,0,0.06144,0,0.09728,0,0,0.06144,0.09728,0.14592,0.13056,0.9984,,,,mode,FOC
23309,0,0.02816,0,-0.01792,0,0,0.02816,-0.01792,0.08704,-0.0128,0.9984,,,,sensored_control,ENABLED
24309,0,0.02816,0,-0.0128,0,0,0.02816,-0.0128,0.01024,-0.08192,0.9984,,,,Fs_trq,100
25309,0,0.08192,0,0.0512,0,0,0.08192,0.0512,0.12032,-0.0128,0.9984,,,,Fs_speed,5
26309,0,0.02048,0,-0.04096,0,0,0.02048,-0.04096,0.02816,-0.0896,0.9984,,,,Fswitching,50
27309,0,0.00256,0,0.03072,0,0,0.00256,0.03072,0.11264,0.14592,0.9984,,,,zero_sequence,THIRD_HARMONIC_INJECTION
28309,0,0.00768,0,0.08192,0,0,0.00768,0.08192,0.13056,0.2304,0.9984,,,,Imax_ph,6.0
29309,0,0.18432,0,-0.0384,0,0,0.18432,-0.0384,0.2304,-0.30976,0.9984,,,,Inom_ph,6.0
30309,0,0.00256,0,-0.01792,0,0,0.00256,-0.01792,0.14592,0.11264,0.9984,,,,I_o_ph,6.0
31309,0,-0.01024,0,0.0896,0,0,-0.01024,0.0896,0.04608,0.2048,0.9984,,,,overload_interval,1.2400000095367432
32309,0,0.01024,0,-0.0896,0,0,0.01024,-0.0896,-0.03072,-0.192,0.9984,,,,overload_limiter,0.699999988079071
33309,0,0.0256,0,-0.0128,0,0,0.0256,-0.0128,0.16384,0.07936,0.9984,,,,t_drop,1.7999999523162842
34309,0,0.00256,0,0.09984,0,0,0.00256,0.09984,-0.0128,0.13056,0.9984,,,,motor_temp_derate_thres,160.0
35309,0,0.05376,0,-0.03584,0,0,0.05376,-0.03584,0.11264,-0.08192,0.9984,,,,motor_temp_max_thres,160.0
36309,0,0.04608,0,0.01792,0,0,0.04608,0.01792,0.14592,0.05376,0.9984,,,,igbt_temp_derate_thres,55.0
37309,0,-0.03584,0,0.01024,0,0,-0.03584,0.01024,-0.0128,0.09472,0.9984,,,,igbt_temp_max_thres,80.0
38309,0,0.02048,0,-0.00512,0,0,0.02048,-0.00512,-0.00512,-0.064,0.9984,,,,v_base,325.2691345214844
39309,0,0.0384,0,0,0,0,0.0384,0,0.02816,-0.07168,0.9984,,,,I_base,5.0911688804626465
40309,0,0.064,0,-0.01792,0,0,0.064,-0.01792,0.06144,-0.13312,0.9984,,,,no_load_rpm,1500
41309,0,0.14592,0,-0.06144,0,0,0.14592,-0.06144,0.12032,-0.35072,0.9984,,,,nom_rpm,1500
42309,0,-0.09216,0,-0.05632,0,0,-0.09216,-0.05632,-0.1408,0.01024,0.9984,,,,max_rpm,2000
43309,0,0.02048,0,0.00512,0,0,0.02048,0.00512,-0.00512,-0.05632,0.9984,,,,min_rpm,-2000
44309,0,0.0128,0,0.00256,0,0,0.0128,0.00256,-0.02304,-0.05632,0.9984,,,,Rs,4.300000190734863
45309,0,-0.05376,0,0.03072,0,0,-0.05376,0.03072,-0.04864,0.13824,0.9984,,,,Rr,2.299999952316284
46309,0,-0.11776,0,0.00512,0,0,-0.11776,0.00512,-0.1408,0.17152,0.9984,,,,Lls,0.020800000056624413
47309,0,0.01536,0,0.01024,0,0,0.01536,0.01024,0.04608,0.02048,0.9984,,,,Llr,0.020800000056624413
48309,0,-0.04608,0,-0.13312,0,0,-0.04608,-0.13312,-0.24064,-0.32512,0.9984,,,,Lm,0.3353999853134155
49309,0,0.05632,0,-0.02816,0,0,0.05632,-0.02816,0.27392,0.07936,0.9984,,,,Lsig,0.041600000113248825
50309,0,-0.07424,0,-0.06656,0,0,-0.07424,-0.06656,-0.08192,0.01024,0.9984,,,,psi_nom,0.8899999856948853
51309,0,-0.01792,0,-0.06656,0,0,-0.01792,-0.06656,-0.10752,-0.15616,0.9984,,,,psi_min,0.17800000309944153
52309,0,-0.0384,0,-0.0896,0,0,-0.0384,-0.0896,-0.10752,-0.1408,0.9984,,,,J,0.10000000149011612
53309,0,0.0384,0,0.0128,0,0,0.0384,0.0128,0.01024,-0.07168,0.9984,,,,b,0.0
54309,0,0.01792,0,0.01536,0,0,0.01792,0.01536,-0.00512,-0.03072,0.9984,,,,np,2.0
55309,0,-0.00512,0,0.03072,0,0,-0.00512,0.03072,-0.09728,-0.0384,0.9984,,,,Ld,0.0005000000237487257
56309,0,0.02304,0,0.09728,0,0,0.02304,0.09728,0.16384,0.24832,0.9984,,,,Lq,0.0005000000237487257
57309,0,-0.04096,0,-0.11264,0,0,-0.04096,-0.11264,0.02048,-0.04864,0.9984,,,,max_trq_num,21000
58309,0,0.0512,0,0.03072,0,0,0.0512,0.03072,0.08704,-0.00512,0.9984,,,,cc_trise,0.0020000000949949026
59309,0,0.03328,0,0.04352,0,0,0.03328,0.04352,-0.0384,-0.064,0.9984,,,,spdc_trise,0.10000000149011612
60309,0,-0.03072,0,0.06144,0,0,-0.03072,0.06144,-0.04864,0.12032,0.9984,,,,mcm_trise,0.05999999865889549
61309,0,-0.04352,0,0.00512,0,0,-0.04352,0.00512,-0.0128,0.10496,0.9984,,,,scvm_trise,0.05999999865889549
62309,0,-0.0768,0,0.04352,0,0,-0.0768,0.04352,-0.18176,0.07936,0.9984,,,,fw_trise,0.019999999552965164
63309,0,-0.00768,0,0.06144,0,0,-0.00768,0.06144,-0.064,0.04608,0.9984,,,,current_ramp_time,100.0
64309,0,-0.05632,0,0.0768,0,0,-0.05632,0.0768,-0.192,0.06912,0.9984,,,,velocity_ramp_time,100.0
65309,0,0,0,-0.18688,0,0,0,-0.18688,-0.05632,-0.33536,0.9984,,,,spd_ref_offset,50.0
773,0,-0.01536,0,-0.04352,0,0,-0.01536,-0.04352,0.05376,0.02816,0.9984,,,,low_rpm_thres,3000.0
1773,0,0.1024,0,0.02048,0,0,0.1024,0.02048,0.13056,-0.10752,0.9984,,,,min_freq,0.0
2773,0,-0.01792,0,-0.01536,0,0,-0.01792,-0.01536,-0.064,-0.0384,0.9984,,,,max_power,45.0
3773,0,-0.04864,0,-0.01024,0,0,-0.04864,-0.01024,-0.14848,-0.0384,0.9984,,,,min_power,-45.0
4773,0,-0.00512,0,0,0,0,-0.00512,0,0.02048,0.02816,0.9984,,,,voltage_trise,0.009999999776482582
5773,0,0.07936,0,0.02048,0,0,0.07936,0.02048,0.10496,-0.07168,0.9984,,,,voltage_tfall,0.009999999776482582
6773,0,-0.11776,0,0.07168,0,0,-0.11776,0.07168,-0.1152,0.29696,0.9984,,,,ocd_thres,25.0
7773,0,-0.06912,0,-0.04096,0,0,-0.06912,-0.04096,-0.13312,-0.0128,0.9984,,,,overvoltage_thres,100.0
8773,0,0.0256,0,0.04352,0,0,0.0256,0.04352,-0.0128,-0.0128,0.9984,,,,undervoltage_thres,-5.0
9773,0,-0.04608,0,0.0384,0,0,-0.04608,0.0384,-0.1152,0.06144,0.9984,,,,ma1max,1.150081753730774
10773,0,-0.08192,0,0.03328,0,0,-0.08192,0.03328,-0.17408,0.08704,0.9984,,,,ma3,0.19168028235435486
11773,0,0.01024,0,0.02304,0,0,0.01024,0.02304,0.13056,0.13824,0.9984,,,,mcu_max_temp,120.0
12773,0,-0.09984,0,-0.0256,0,0,-0.09984,-0.0256,-0.192,0.02816,0.9984,,,,wh1_timeout_thres,20000
13773,0,-0.00256,0,0.16384,0,0,-0.00256,0.16384,-0.064,0.18944,0.9984,,,,warning_interval,5000
14773,0,-0.05632,0,0.03328,0,0,-0.05632,0.03328,-0.0384,0.1536,0.9984,,,,error_reset_interval,5000
15773,0,0.03072,0,-0.08192,0,0,0.03072,-0.08192,0.04608,-0.15616,0.9984,,,,startup_time,1000
16773,0,0.00768,0,0.0768,0,0,0.00768,0.0768,0.03584,0.13056,0.9984,,,,mcu_reset_interval,10000
17773,0,-0.02816,0,0.07936,0,0,-0.02816,0.07936,-0.04864,0.14592,0.9984,,,,data_logger_ts_div,100
18773,0,-0.02048,0,0.0768,0,0,-0.02048,0.0768,-0.1152,0.05376,0.9984,,,,params_init_key,1122867
19773,0,-0.01792,0,0.03328,0,0,-0.01792,0.03328,0.00256,0.09472,0.9984,,,,
20773,0,-0.00512,0,-0.11264,0,0,-0.00512,-0.11264,-0.03072,-0.192,0.9984,,,,#MONITOR,
21773,0,0.06912,0,-0.07168,0,0,0.06912,-0.07168,0.13056,-0.15616,0.9984,,,,num_max_trq,num_min_trq,max_velocity,min_velocity,velocity_request,num_trq_req,control_mode_command,vcu_command,critical_hw_status,aux_hw_status,last_error,sys_status,handler_status,latched_error,actual_state,control_mode_actual,limiter_flags,Id_ref,Iq_ref,Id_filt,Iq_filt,trq_ref,trq_actual,flux_ref,flux_actual,pwr_ref,pwr_actual,motor_rpm,Vdc,Vdc_max,num_max_trq,vcu_max_velocity,Imax_total,Imin_total,Iq_ref_request,max_velocity,min_velocity,motor_temp,igbt_temp,nominal_rpm,I1,I2,I3,I1max,I2max,I3max,ambient_temp,ambient_humidity,cc_time,cc_ts,sp_time,sp_ts
22773,0,-0.00768,0,0.06656,0,0,-0.00768,0.06656,-0.02304,0.09472,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_TSAL_OVER60 | HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,SPEED_CONTROL,0,0.0,0.0,0.009099999442696571,0.017799999564886093,0.0,-3.6693796573672444e-05,0.0,-0.0006871497607789934,0.0,-0.0,0,61.85875701904297,61.86640930175781,0,0,0.0,0.0,0.0,0,0,153.92396545410156,24.0827579498291,285.2657165527344,0.1138383001089096,-0.012648699805140495,-0.021081166341900826,0.6029706597328186,0.5692380666732788,0.6029706597328186,0.0,0.0,4.205454349517822,10.0,1.5254545211791992,198.16726684570312
23773,0,0.04096,0,-0.02304,0,0,0.04096,-0.02304,0.09472,-0.04864,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_TSAL_OVER60 | HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,SPEED_CONTROL,0,0.0,0.0,0.009499999694526196,-0.000699999975040555,0.0,2.3231717705129995e-07,0.0,-0.00011062723206123337,0.0,0.0,0,61.86130905151367,61.86640930175781,0,0,0.0,0.0,0.0,0,0,153.92379760742188,24.083154678344727,285.2774963378906,0.012649217620491982,-0.04638046398758888,0.3668273091316223,0.6029706597328186,0.5692380666732788,0.6029706597328186,0.0,0.0,4.216363430023193,10.001818656921387,1.559999942779541,199.9945526123047
24773,0,0.02048,0,0.08704,0,0,0.02048,0.08704,0.00256,0.07936,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_TSAL_OVER60 | HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,SPEED_CONTROL,0,0.0,0.0,0.01529999915510416,9.999999747378752e-05,0.0,-1.0249743098711406e-07,0.0,-0.0003416581021156162,0.0,-0.0,0,61.86130905151367,61.86640930175781,0,0,0.0,0.0,0.0,0,0,153.92379760742188,24.083154678344727,285.2774963378906,-0.14757420122623444,-0.037947650998830795,0.07167889922857285,0.6029706597328186,0.5692380666732788,0.6029706597328186,0.0,0.0,4.138181686401367,10.001818656921387,1.6018182039260864,201.8890838623047
25773,0,-0.05376,0,0.03072,0,0,-0.05376,0.03072,-0.08192,0.10496,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_TSAL_OVER60 | HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,SPEED_CONTROL,0,0.0,0.0,-0.006799999624490738,0.0050999997183680534,0.0,2.787354060274083e-05,0.0,0.001821800135076046,0.0,0.0,0,61.86130905151367,61.86640930175781,0,0,0.0,0.0,0.0,0,0,153.80636596679688,24.0894718170166,285.2774963378906,0.12227576971054077,0.037947650998830795,0.06324608623981476,0.6029706597328186,0.5860804319381714,0.6029706597328186,0.0,0.0,4.218181610107422,9.998181343078613,1.5763636827468872,199.99090576171875
26773,0,-0.04352,0,0.06144,0,0,-0.04352,0.06144,-0.14848,0.05376,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_TSAL_OVER60 | HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,SPEED_CONTROL,0,0.0,0.0,9.999999747378752e-05,0.002899999963119626,0.0,-7.195318175945431e-06,0.0,-0.0008270480902865529,0.0,-0.0,0,61.86385726928711,61.86640930175781,0,0,0.0,0.0,0.0,0,0,154.1630401611328,24.0877628326416,285.28924560546875,-0.012649734504520893,-0.11384761333465576,0.021082891151309013,0.6029706597328186,0.5860804319381714,0.6029706597328186,0.0,0.0,4.141818046569824,9.979999542236328,1.5763636827468872,200.29454040527344
27773,0,-0.10752,0,0.01536,0,0,-0.10752,0.01536,-0.192,0.11264,0.9984,,,,0,0,0,0,0,0,SPEED_CONTROL,DISABLED,HW_INVERTER_DISABLED,HW_TSAL_OVER60 | HW_DISCHARGE_ENABLED | HW_USB_CONNECTED | HW_ST_LINK_CONNECTED,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,SPEED_CONTROL,0,0.0,0.0,-0.002199999988079071,-0.00559999980032444,0.0,7.605558039358584e-06,0.0,-0.0004527117998804897,0.0,0.0,0,61.86130905151367,61.86640930175781,0,0,0.0,0.0,0.0,0,0,154.1628875732422,24.091577529907227,285.2774963378906,0.11384295672178268,-0.14757420122623444,0.05481327697634697,0.6029706597328186,0.5860804319381714,0.6029706597328186,0.0,0.0,4.236363410949707,9.976363182067871,1.5690909624099731,199.52545166015625
28773,0,-0.01792,0,-0.04608,0,0,-0.01792,-0.04608,0.01024,-0.0128,0.9984,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29773,0,-0.04096,0,0.01536,0,0,-0.04096,0.01536,-0.1408,-0.0128,0.9984,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30773,0,-0.0384,0,0.0512,0,0,-0.0384,0.0512,0.10496,0.2816,0.9984,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31773,0,0.09472,0,-0.0256,0,0,0.09472,-0.0256,0.26368,-0.02304,0.9984,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32773,0,0.03328,0,0.01536,0,0,0.03328,0.01536,0.02048,-0.04864,0.9984,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33773,0,-0.0128,0,-0.03328,0,0,-0.0128,-0.03328,-0.04864,-0.064,0.9984,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34773,0,0.02816,0,0.02048,0,0,0.02816,0.02048,-0.05632,-0.09728,0.9984,,,,0,0,0,0,0,0,FAULT_MODE,DISABLED,HW_INVERTER_ENABLED,0,INVERTER_OK,INVERTER_OK,NO_ERRORS,ERROR_RESET,INVERTER_DISABLE,FAULT_MODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
